"tramo","avance_band","creditos","saldo_total","creditos_activados","saldo_asegurado_real"
"a. 1-8","a. avance <10%","417","1111310.0","264","672805.0"
"a. 1-8","b. avance 10-40%","692","1305997.0","480","846034.0"
"a. 1-8","c. avance 40-70%","503","497599.0","378","343599.0"
"a. 1-8","d. avance 70%+","218","93448.0","164","67029.0"
"b. 9-15","a. avance <10%","102","319360.0","32","73726.0"
"b. 9-15","b. avance 10-40%","156","309239.0","77","158169.0"
"b. 9-15","c. avance 40-70%","122","115577.0","61","53349.0"
"b. 9-15","d. avance 70%+","43","22503.0","18","10829.0"
"c. 16-30","a. avance <10%","140","387518.0","30","84569.0"
"c. 16-30","b. avance 10-40%","181","350919.0","52","100415.0"
"c. 16-30","c. avance 40-70%","127","121277.0","41","41867.0"
"c. 16-30","d. avance 70%+","43","21311.0","15","9589.0"
