"fecha","nuevos_entradas","nuevos_asignado_dia","nuevos_asignado_acum","stock_asegurado_dia","stock_asegurado_acum","nuevos_asegurado_dia","nuevos_asegurado_acum","total_asegurado_dia","total_asegurado_acum"
"20260701","0","0.0","0.0","347712.41","347712.41","0.0","0.0","347712.41","347712.41"
"20260702","348","544120.58","544120.58","607554.59","955267.0","0.0","0.0","607554.59","955267.0"
"20260703","250","441792.2","985912.78","409799.87","1365066.87","153957.47","153957.47","563757.34","1519024.34"
"20260704","226","379886.12","1365798.9","136234.85","1501301.72","109313.68","263271.15","245548.53","1764572.87"
"20260705","261","447265.68","1813064.58","65185.59","1566487.31","90654.08","353925.23","155839.67","1920412.54"
"20260706","0","0.0","1813064.58","230912.4","1797399.71","416898.62","770823.85","647811.02","2568223.56"
"20260707","462","875552.59","2688617.17","148039.16","1945438.87","185203.19","956027.04","333242.35","2901465.91"
"20260708","206","322466.78","3011083.95","138600.96","2084039.83","308652.12","1264679.16","447253.08","3348718.99"
"20260709","197","294348.77","3305432.72","129533.56","2213573.39","295661.92","1560341.08","425195.48","3773914.47"
"20260710","205","348511.12","3653943.84","121846.16","2335419.55","421305.47","1981646.55","543151.63","4317066.1"
"20260711","248","372772.79","4026716.63","74219.36","2409638.91","217659.47","2199306.02","291878.83","4608944.93"
"20260712","271","405913.13","4432629.76","36820.76","2446459.67","146943.15","2346249.17","183763.91","4792708.84"
"20260713","0","0.0","4432629.76","15520.6","2461980.27","163439.14","2509688.31","178959.74","4971668.58"
