"fase_estrategia","subsegmento_fase_estrategia","id_loan","saldo_dia1","avance_band","mora_jun","segmento","tramo_jun","fecha_entrada","fecha_primer_pago"
,,"89405676-14ec-42fb-9bd7-6c0c0ea1b032","1453.37","c. avance 40-70%","0.0","stock","a. 1-8","20260701",
,,"63581a9d-97ba-4e01-a722-e852e5e9f704","7496.16","b. avance 10-40%","0.0","stock","a. 1-8","20260701",
"RECOVERY","VENCIDO +120","90534075-96db-4576-b9a1-803066c7ca5e","2937.08","a. avance <10%","340.0","preexistente_31+",,,
"RECOVERY","VENCIDO +120","1f50c41f-fc85-4d20-91fc-7a4219e33f3c","1146.2","a. avance <10%","120.0","preexistente_31+",,,
"RECOVERY","VENCIDO +120","7a2cc174-be2c-4271-929d-526feecaa475","3697.85","a. avance <10%","267.0","preexistente_31+",,,
"TEMPRANA","VENCIDO 1 A 8","16632267-7814-43fd-bbe5-43e8f90f5ab9","1764.57","b. avance 10-40%","0.0","stock","a. 1-8","20260701",
"TEMPRANA","VENCIDO 9 A 30","93623b27-5bca-44ca-bb44-3d936722bc86","824.31","b. avance 10-40%","7.0","stock","a. 1-8",,
"RECOVERY","VENCIDO +120","c2395796-6d6a-4497-ab66-14d20bf4767f","168.59","c. avance 40-70%","257.0","preexistente_31+",,,
"RECOVERY","VENCIDO +120","1240d51f-a624-44eb-9de4-948f81fe6111","2645.63","a. avance <10%","229.0","preexistente_31+",,,
"RECOVERY","VENCIDO +120","b7d1e1c1-2272-4e50-81d4-b2d998a79cb3","2645.12","b. avance 10-40%","393.0","preexistente_31+",,,
"RECOVERY","VENCIDO +120","4c157e04-3c09-4260-8438-318bc45ddb09","1382.83","b. avance 10-40%","243.0","preexistente_31+",,,
"RECOVERY","VENCIDO +120","df7fa173-97c5-4a42-9403-e6e97d828a2e","2732.4","a. avance <10%","122.0","preexistente_31+",,,
"RECOVERY","VENCIDO +120","29f5503a-2ed7-4f29-a453-7a9eda84b245","1941.54","b. avance 10-40%","148.0","preexistente_31+",,,
"RECOVERY","VENCIDO +120","7955cc71-9bd8-44b2-87c4-26bd06374956","1188.25","a. avance <10%","357.0","preexistente_31+",,,
"ESPECIALIZADA","VENCIDO 91 A 120","47f48a29-30c8-4224-ae4a-61a54c4287e2","1063.69","b. avance 10-40%","96.0","preexistente_31+",,,
"RECOVERY","VENCIDO +120","3b00f372-1a7e-4a5a-9007-8c92f67235fd","19.75","d. avance 70%+","431.0","preexistente_31+",,,
"RECOVERY","VENCIDO +120","d1c09a43-cbdf-4896-91b8-79f493012053","2631.2","a. avance <10%","477.0","preexistente_31+",,,
"RECOVERY","VENCIDO +120","2246b6f3-7207-490b-b035-55b012ecf71f","1836.0","a. avance <10%","122.0","preexistente_31+",,,
"RECOVERY","VENCIDO +120","496349de-c123-4759-b1e7-53fbecc72bd1","1554.0","a. avance <10%","386.0","preexistente_31+",,,
"RECOVERY","VENCIDO +120","6b34fa4d-1bb1-44e9-bc82-a225c6146759","1180.2","a. avance <10%","151.0","preexistente_31+",,,
"RECOVERY","VENCIDO +120","95015aeb-6e62-4a1c-98c8-0055a7f05c4c","4370.58","a. avance <10%","209.0","preexistente_31+",,,
"ESPECIALIZADA","VENCIDO 91 A 120","cae927fd-3cc5-4de7-8087-602321e2d693","1641.29","c. avance 40-70%","92.0","preexistente_31+",,,
"ESPECIALIZADA","VENCIDO 91 A 120","c37938a3-a073-4adb-92cf-6d6e06cc8fa8","478.95","d. avance 70%+","115.0","preexistente_31+",,,
"RECOVERY","VENCIDO +120","711f0baa-2608-4571-93c7-52dbdec3a39a","146.98","c. avance 40-70%","421.0","preexistente_31+",,,
"TEMPRANA","VENCIDO 1 A 8","cd162897-bbdf-4eb5-82a3-2cc01e7f0f62","1513.5","a. avance <10%","0.0","stock","a. 1-8","20260701",
"ESPECIALIZADA","VENCIDO 61 A 90","4ec5ce85-c159-4914-8956-6556b479a6c8","442.76","c. avance 40-70%","77.0","preexistente_31+",,,
"RECOVERY","VENCIDO +120","1e67d453-8ca4-4be9-a0f1-6f7e3c4fe202","1136.8","a. avance <10%","325.0","preexistente_31+",,,
"TEMPRANA","VENCIDO 1 A 8","a498708a-ba81-4f0f-8961-8911e31e734b","2237.78","a. avance <10%","0.0","nuevo",,,"20260702"
"ESPECIALIZADA","VENCIDO 91 A 120","cc0937b5-8d08-4881-916b-c618425efbfe","605.4","a. avance <10%","113.0","preexistente_31+",,,
"TEMPRANA","VENCIDO 1 A 8","f1c8753d-3293-42b9-bdb7-87d0212cb90c","608.79","c. avance 40-70%","0.0","stock","a. 1-8","20260701","20260703"
"TEMPRANA","VENCIDO 1 A 8","5e5e0081-a364-4d9f-98f5-a98f0408cf34","0.0","d. avance 70%+","0.0","stock","a. 1-8","20260701","20260702"
"RECOVERY","VENCIDO +120","8d3e669e-8816-4f15-bdaa-0bfc9bfcb3dd","1558.26","b. avance 10-40%","136.0","preexistente_31+",,,
"TEMPRANA","VENCIDO 9 A 30","cf4ebe4a-dc39-466c-adf2-fff95af2f06a","1363.72","a. avance <10%","15.0","stock","b. 9-15",,
"TEMPRANA","VENCIDO 1 A 8","0df5ed14-f9d8-459f-b42a-58e76f5f6a12","353.49","c. avance 40-70%","0.0","nuevo",,,"20260702"
"ESPECIALIZADA","VENCIDO 31 A 60","f88ff493-90bb-4e64-bb7a-2585bc9274cd","1036.0","a. avance <10%","31.0","preexistente_31+",,,
"RECOVERY","VENCIDO +120","ddffbbb4-8e6d-4f3a-b2db-e754b60b7a94","3418.8","a. avance <10%","521.0","preexistente_31+",,,
"RECOVERY","VENCIDO +120","91db764c-6d5d-4aa3-9c1d-042d3d751d87","1544.66","b. avance 10-40%","166.0","preexistente_31+",,,
"RECOVERY","VENCIDO +120","ebb8c358-74c1-482e-961b-6934983e3e5f","2762.48","a. avance <10%","455.0","preexistente_31+",,,
"TEMPRANA","VENCIDO 1 A 8","2de5e385-b60c-4554-aa9a-8406be80e627","665.08","d. avance 70%+","0.0","nuevo",,"20260702","20260711"
"RECOVERY","VENCIDO +120","eaebcf02-7e7c-4fc3-8daa-a1349e595d49","4096.0","a. avance <10%","320.0","preexistente_31+",,,
"RECOVERY","VENCIDO +120","24498ab8-05a9-49fe-9ae8-20ff053e6595","5177.77","b. avance 10-40%","258.0","preexistente_31+",,,
"RECOVERY","VENCIDO +120","4e80ee8d-a3a7-4d99-a116-09df914f8660","8192.0","a. avance <10%","547.0","preexistente_31+",,,
"RECOVERY","VENCIDO +120","ac50f3b3-2397-4d96-93c4-4f325b472979","698.48","c. avance 40-70%","398.0","preexistente_31+",,,
"RECOVERY","VENCIDO +120","6d0ea63c-cecb-4401-9035-b2554a3c28ab","414.3","d. avance 70%+","386.0","preexistente_31+",,,
"TEMPRANA","VENCIDO 9 A 30","e3cdfda7-1ec6-4471-9f28-65c868a5b849","884.29","b. avance 10-40%","11.0","stock","b. 9-15",,
"TEMPRANA","VENCIDO 9 A 30","a35ebef2-703c-455e-9102-8f30999ca000","1036.7","b. avance 10-40%","11.0","stock","b. 9-15",,
"RECOVERY","VENCIDO +120","5c65fefb-7b94-43df-842b-578e8f4c0c6e","10165.4","a. avance <10%","248.0","preexistente_31+",,,
"RECOVERY","VENCIDO +120","160fadc1-c18b-4a13-9cbd-5036e7d70687","6325.66","a. avance <10%","120.0","preexistente_31+",,,"20260708"
"ESPECIALIZADA","VENCIDO 31 A 60","add25c9d-8671-4d4a-958d-0e4e064c0b29","1286.34","b. avance 10-40%","53.0","preexistente_31+",,,
"RECOVERY","VENCIDO +120","ef64b4e6-b9ee-43fc-a57f-0fc0aa1e5f43","934.98","c. avance 40-70%","486.0","preexistente_31+",,,
"RECOVERY","VENCIDO +120","2bd2226f-9cdd-4af2-b3d1-8e9cd8022b19","1521.66","a. avance <10%","455.0","preexistente_31+",,,
"RECOVERY","VENCIDO +120","80f13f70-6fcd-482c-a17a-e5aa8381639d","1593.38","a. avance <10%","379.0","preexistente_31+",,,
"RECOVERY","VENCIDO +120","59954590-9844-4075-b89f-b73cf13dc084","349.79","d. avance 70%+","227.0","preexistente_31+",,,
"RECOVERY","VENCIDO +120","bfb40505-3f0d-4d0f-a9c0-84fee3308c96","821.06","b. avance 10-40%","339.0","preexistente_31+",,,
"RECOVERY","VENCIDO +120","3ad0861a-c2f3-4e34-abf9-4cbd63f84457","604.23","b. avance 10-40%","139.0","preexistente_31+",,,
"RECOVERY","VENCIDO +120","888c9972-2867-4e09-a7b3-2b118070457f","696.47","b. avance 10-40%","608.0","preexistente_31+",,,
"RECOVERY","VENCIDO +120","ae738119-ee7b-4cbe-a863-f2d808a61f1c","1530.04","b. avance 10-40%","424.0","preexistente_31+",,,
"TEMPRANA","VENCIDO 1 A 8","5b20e369-262a-4889-b749-2d63ac208220","3104.33","c. avance 40-70%","5.0","stock","a. 1-8",,"20260703"
"RECOVERY","VENCIDO +120","3b2ef384-5534-431e-a037-4d7d1ab0a80a","2662.4","a. avance <10%","182.0","preexistente_31+",,,
"RECOVERY","VENCIDO +120","f0b03ad3-2105-49be-b007-8b7dccc50ef2","236.62","b. avance 10-40%","202.0","preexistente_31+",,,
"ESPECIALIZADA","VENCIDO 31 A 60","b440191f-bb28-4104-9561-0b1fd1a278f8","1254.97","a. avance <10%","31.0","preexistente_31+",,,
"ESPECIALIZADA","VENCIDO 31 A 60","2c4f3280-34cf-4b19-a17c-30bf5e057cba","1804.39","b. avance 10-40%","57.0","preexistente_31+",,,
"TEMPRANA","VENCIDO 9 A 30","ba9e897f-093f-48a1-8f27-1c69d0f6b229","2137.8","a. avance <10%","18.0","stock","c. 16-30",,
"TEMPRANA","VENCIDO 9 A 30","2acba714-9e15-45e3-94b9-7a3b3e8fb5df","1717.65","b. avance 10-40%","8.0","stock","a. 1-8",,
"ESPECIALIZADA","VENCIDO 91 A 120","9074cd07-7be4-45ac-a2db-69eb6524c106","2327.6","a. avance <10%","104.0","preexistente_31+",,,
"TEMPRANA","VENCIDO 9 A 30","66c9302f-6215-4532-b96d-927075b60514","1956.21","d. avance 70%+","12.0","stock","b. 9-15",,
"RECOVERY","VENCIDO +120","9adadfba-ed23-4ac3-bec0-5523621b5b94","15900.0","a. avance <10%","319.0","preexistente_31+",,,
"TEMPRANA","VENCIDO 9 A 30","c4da358f-9887-4ec8-a55f-933dc84b65f2","1962.7","a. avance <10%","8.0","stock","a. 1-8",,
"TEMPRANA","VENCIDO 9 A 30","41973d37-dfc2-4882-9759-5704a34ca5b7","1602.78","b. avance 10-40%","19.0","stock","c. 16-30",,
"TEMPRANA","VENCIDO 1 A 8","13462df5-6b4b-4ed7-bf72-75cda54c1a5d","1437.62","c. avance 40-70%","0.0","stock","a. 1-8","20260701","20260702"
"TEMPRANA","VENCIDO 1 A 8","e66b8af6-d7f9-44c7-be35-a5a0b18ec954","2309.38","b. avance 10-40%","0.0","nuevo",,"20260702",
"TEMPRANA","VENCIDO 1 A 8","1a387b14-5610-429c-bdd4-10a0f41f62e0","925.14","b. avance 10-40%","0.0","nuevo",,,"20260702"
"ESPECIALIZADA","VENCIDO 91 A 120","6971d689-3322-4690-ac52-8e8c6fb22617","423.5","d. avance 70%+","63.0","preexistente_31+",,,
"TEMPRANA","VENCIDO 1 A 8","9ed5a2a1-1087-4c28-a0cd-ef0b38706b18","764.54","d. avance 70%+","5.0","stock","a. 1-8",,"20260709"
"ESPECIALIZADA","VENCIDO 91 A 120","f972aa1b-cffe-4926-a312-9a7d681ab89b","1713.75","d. avance 70%+","97.0","preexistente_31+",,,
"TEMPRANA","VENCIDO 1 A 8","ccbfe76e-c272-459f-91bd-94599dafa34d","916.0","b. avance 10-40%","0.0","stock","a. 1-8","20260701","20260709"
"ESPECIALIZADA","VENCIDO 31 A 60","d0bc24e0-50ea-42c6-82de-55056ee3a1c2","3627.32","b. avance 10-40%","39.0","preexistente_31+",,,
"ESPECIALIZADA","VENCIDO 31 A 60","3f12ac98-2e76-45c7-9d5a-75dbfa29037c","2132.86","b. avance 10-40%","29.0","stock","c. 16-30",,
"TEMPRANA","VENCIDO 1 A 8","24fdf107-5471-4038-9b43-a467cb4f30e5","59.45","c. avance 40-70%","0.0","nuevo",,"20260702","20260705"
"ESPECIALIZADA","VENCIDO 61 A 90","98d56cc3-1671-41d0-b818-90ca78b7a7e2","3710.01","a. avance <10%","76.0","preexistente_31+",,,
"ESPECIALIZADA","VENCIDO 31 A 60","5e78b977-d056-4eb2-aad9-b21560e8cfab","1802.18","c. avance 40-70%","56.0","preexistente_31+",,,"20260705"
"RECOVERY","VENCIDO +120","e137e4fd-24b7-461e-bdab-67df2ffef56b","237.52","c. avance 40-70%","682.0","preexistente_31+",,,
"RECOVERY","VENCIDO +120","86ff3ff0-90da-401e-a556-641602aaa9f2","530.73","a. avance <10%","119.0","preexistente_31+",,,
"RECOVERY","VENCIDO +120","ed5bc71f-fce4-4ba1-be05-2375a7bd4c57","5797.55","b. avance 10-40%","211.0","preexistente_31+",,,
"RECOVERY","VENCIDO +120","7c19a25c-3966-4e8c-8f1b-a550ce3aafb6","1397.6","a. avance <10%","624.0","preexistente_31+",,,
"ESPECIALIZADA","VENCIDO 91 A 120","3f3d70ce-78ed-4c9c-a196-b0a52be9b413","1209.91","b. avance 10-40%","105.0","preexistente_31+",,,
"RECOVERY","VENCIDO +120","e8caad65-40e7-4505-9d64-481b80b1770c","232.31","d. avance 70%+","211.0","preexistente_31+",,,
"TEMPRANA","VENCIDO 1 A 8","294fadb5-d8fe-42fc-9121-43f947976a98","117.25","b. avance 10-40%","0.0","nuevo",,,"20260702"
"RECOVERY","VENCIDO +120","2a540367-4ba3-430f-b57c-4acf1e008953","1393.52","a. avance <10%","668.0","preexistente_31+",,,
"RECOVERY","VENCIDO +120","0e71a259-5732-43ef-9571-710f94f9be4c","3257.42","b. avance 10-40%","273.0","preexistente_31+",,,
"RECOVERY","VENCIDO +120","c877c9bf-089d-46a3-80b9-8ca66fdbe3aa","893.79","b. avance 10-40%","542.0","preexistente_31+",,,
,,"08102f21-6c3a-445f-a996-5ac3b93feb7c","1441.14","b. avance 10-40%","0.0","stock","a. 1-8","20260701",
"ESPECIALIZADA","VENCIDO 91 A 120","be35195b-5be1-4dcc-8f98-e5b5ad74075f","3627.35","a. avance <10%","92.0","preexistente_31+",,,
,,"54ee95c9-ac32-480c-9131-fe9dcdbbcd41","695.68","b. avance 10-40%","4.0","stock","a. 1-8",,"20260705"
"RECOVERY","VENCIDO +120","587cfe77-75c1-4a20-973b-2f669a13e0ba","3956.43","b. avance 10-40%","644.0","preexistente_31+",,,
"RECOVERY","VENCIDO +120","16c28517-3152-483e-91a8-6dc865b723b2","1896.84","b. avance 10-40%","547.0","preexistente_31+",,,
"RECOVERY","VENCIDO +120","68da3e41-d537-434a-a700-16df425603e0","3019.99","a. avance <10%","134.0","preexistente_31+",,,
"RECOVERY","VENCIDO +120","97d81b1b-df41-406b-916c-553289a3d285","1530.0","a. avance <10%","157.0","preexistente_31+",,,
"RECOVERY","VENCIDO +120","e795ee83-0bf1-422c-ad39-5fbed4ec1b14","383.56","d. avance 70%+","358.0","preexistente_31+",,,
"RECOVERY","VENCIDO +120","de5b8af5-4fbc-4493-94b5-3d67d0f1cbda","5464.8","a. avance <10%","155.0","preexistente_31+",,,
