"fechavencimiento","avance_band","creditos","saldo_en_riesgo"
"2026-04-01","a. avance <10%","328","847007.0"
"2026-04-01","b. avance 10-40%","747","1178098.0"
"2026-04-01","c. avance 40-70%","500","403301.0"
"2026-04-01","d. avance 70%+","424","82977.0"
"2026-04-04","a. avance <10%","645","1747843.0"
"2026-04-04","b. avance 10-40%","1535","2622474.0"
"2026-04-04","c. avance 40-70%","989","771200.0"
"2026-04-04","d. avance 70%+","925","143302.0"
"2026-04-06","a. avance <10%","491","1325591.0"
"2026-04-06","b. avance 10-40%","1173","2258049.0"
"2026-04-06","c. avance 40-70%","837","693133.0"
"2026-04-06","d. avance 70%+","724","124862.0"
"2026-04-07","a. avance <10%","252","604309.0"
"2026-04-07","b. avance 10-40%","530","835283.0"
"2026-04-07","c. avance 40-70%","352","256063.0"
"2026-04-07","d. avance 70%+","256","34800.0"
"2026-04-08","a. avance <10%","226","509273.0"
"2026-04-08","b. avance 10-40%","559","915491.0"
"2026-04-08","c. avance 40-70%","355","237774.0"
"2026-04-08","d. avance 70%+","263","39369.0"
"2026-04-09","a. avance <10%","197","459780.0"
"2026-04-09","b. avance 10-40%","469","747708.0"
"2026-04-09","c. avance 40-70%","337","247607.0"
"2026-04-09","d. avance 70%+","218","29787.0"
"2026-04-10","a. avance <10%","180","471822.0"
"2026-04-10","b. avance 10-40%","490","839001.0"
"2026-04-10","c. avance 40-70%","295","226153.0"
"2026-04-10","d. avance 70%+","267","37400.0"
"2026-04-11","a. avance <10%","168","406599.0"
"2026-04-11","b. avance 10-40%","391","624828.0"
"2026-04-11","c. avance 40-70%","286","234722.0"
"2026-04-11","d. avance 70%+","213","25865.0"
"2026-04-13","a. avance <10%","321","823434.0"
"2026-04-13","b. avance 10-40%","799","1199238.0"
"2026-04-13","c. avance 40-70%","563","436943.0"
"2026-04-13","d. avance 70%+","464","57925.0"
"2026-04-14","a. avance <10%","212","427104.0"
"2026-04-14","b. avance 10-40%","476","739811.0"
"2026-04-14","c. avance 40-70%","329","241720.0"
"2026-04-14","d. avance 70%+","232","29995.0"
"2026-04-15","a. avance <10%","465","1350238.0"
"2026-04-15","b. avance 10-40%","1048","1940048.0"
"2026-04-15","c. avance 40-70%","605","542692.0"
"2026-04-15","d. avance 70%+","502","73356.0"
"2026-04-16","a. avance <10%","177","486814.0"
"2026-04-16","b. avance 10-40%","506","829808.0"
"2026-04-16","c. avance 40-70%","328","262333.0"
"2026-04-16","d. avance 70%+","283","38067.0"
"2026-04-17","a. avance <10%","172","392334.0"
"2026-04-17","b. avance 10-40%","461","760974.0"
"2026-04-17","c. avance 40-70%","336","230067.0"
"2026-04-17","d. avance 70%+","285","41609.0"
"2026-04-18","a. avance <10%","156","345595.0"
"2026-04-18","b. avance 10-40%","464","748633.0"
"2026-04-18","c. avance 40-70%","310","221130.0"
"2026-04-18","d. avance 70%+","246","34034.0"
"2026-04-20","a. avance <10%","366","870403.0"
"2026-04-20","b. avance 10-40%","927","1542119.0"
"2026-04-20","c. avance 40-70%","747","575093.0"
"2026-04-20","d. avance 70%+","556","85443.0"
"2026-04-21","a. avance <10%","246","540053.0"
"2026-04-21","b. avance 10-40%","575","905085.0"
"2026-04-21","c. avance 40-70%","344","242242.0"
"2026-04-21","d. avance 70%+","248","27650.0"
"2026-04-22","a. avance <10%","225","545051.0"
"2026-04-22","b. avance 10-40%","524","768144.0"
"2026-04-22","c. avance 40-70%","329","235981.0"
"2026-04-22","d. avance 70%+","280","39045.0"
"2026-04-23","a. avance <10%","200","501569.0"
"2026-04-23","b. avance 10-40%","503","818380.0"
"2026-04-23","c. avance 40-70%","346","266521.0"
"2026-04-23","d. avance 70%+","301","42979.0"
"2026-04-24","a. avance <10%","173","393608.0"
"2026-04-24","b. avance 10-40%","494","783893.0"
"2026-04-24","c. avance 40-70%","387","271175.0"
"2026-04-24","d. avance 70%+","266","37464.0"
"2026-04-25","a. avance <10%","346","1132296.0"
"2026-04-25","b. avance 10-40%","788","1580838.0"
"2026-04-25","c. avance 40-70%","490","484255.0"
"2026-04-25","d. avance 70%+","517","83797.0"
"2026-04-27","a. avance <10%","374","1008145.0"
"2026-04-27","b. avance 10-40%","1085","1709623.0"
"2026-04-27","c. avance 40-70%","699","499947.0"
"2026-04-27","d. avance 70%+","561","78433.0"
"2026-04-28","a. avance <10%","315","830612.0"
"2026-04-28","b. avance 10-40%","844","1322824.0"
"2026-04-28","c. avance 40-70%","545","380005.0"
"2026-04-28","d. avance 70%+","429","49655.0"
"2026-04-29","a. avance <10%","195","464292.0"
"2026-04-29","b. avance 10-40%","271","400735.0"
"2026-04-29","c. avance 40-70%","216","187245.0"
"2026-04-29","d. avance 70%+","187","38012.0"
"2026-04-30","a. avance <10%","615","1845663.0"
"2026-04-30","b. avance 10-40%","1043","2171091.0"
"2026-04-30","c. avance 40-70%","668","686373.0"
"2026-04-30","d. avance 70%+","634","158467.0"
