"fechavencimiento","saldo_en_riesgo","cuotas"
"2026-03-31","260910.67","143"
"2026-04-01","2040407.49","1631"
"2026-04-04","4210965.97","3410"
"2026-04-06","3600718.13","2670"
"2026-04-07","1520460.07","1220"
"2026-04-08","1373943.44","1197"
"2026-04-09","1275050.42","1073"
"2026-04-10","1261849.73","1035"
"2026-04-11","941103.55","840"
"2026-04-13","2146442.86","1891"
"2026-04-14","1199485.2","1069"
"2026-04-15","3226566.02","2285"
"2026-04-16","1371113.77","1149"
"2026-04-17","1176655.03","1071"
"2026-04-18","1064261.11","958"
"2026-04-20","2652304.79","2286"
"2026-04-21","1408838.34","1214"
"2026-04-22","1385257.2","1195"
"2026-04-23","1412073.11","1196"
"2026-04-24","1258183.3","1148"
"2026-04-25","2710200.49","1815"
"2026-04-27","2877036.53","2446"
"2026-04-28","2219579.09","1906"
"2026-04-29","982924.86","791"
