"fechavencimiento","saldo_en_riesgo","cuotas"
"2026-03-31","260910.67","143"
"2026-04-01","2510003.7","1998"
"2026-04-04","5276523.66","4091"
"2026-04-06","4385325.69","3219"
"2026-04-07","1728990.94","1389"
"2026-04-08","1691759.51","1398"
"2026-04-09","1480320.35","1217"
"2026-04-10","1574376.77","1232"
"2026-04-11","1286709.32","1055"
"2026-04-13","2513462.8","2146"
"2026-04-14","1429825.37","1242"
"2026-04-15","3892545.81","2614"
"2026-04-16","1613871.08","1293"
"2026-04-17","1422229.04","1253"
"2026-04-18","1348134.21","1175"
"2026-04-20","3071835.31","2595"
"2026-04-21","1709322.44","1411"
"2026-04-22","1580965.95","1355"
"2026-04-23","1626783.78","1348"
"2026-04-24","1474932.62","1316"
"2026-04-25","3272276.33","2140"
"2026-04-27","3294767.9","2718"
"2026-04-28","2581144.6","2132"
"2026-04-29","1088371.0","868"
