"fechaproceso","saldo_activado_dia"
"20260403","51572.58"
"20260404","48058.31"
"20260405","21789.6"
"20260406","496135.54"
"20260407","132049.46"
"20260408","593271.66"
"20260409","213712.42"
"20260410","266564.6"
"20260411","163824.73"
"20260412","93320.99"
"20260413","372423.04"
"20260414","174735.52"
"20260415","291034.54"
"20260416","171065.39"
"20260417","340489.28"
"20260418","167913.9"
"20260419","75225.73"
"20260420","295752.87"
"20260421","225042.94"
"20260422","301257.1"
"20260423","286168.71"
"20260424","228470.11"
"20260425","142007.31"
"20260426","129256.1"
"20260427","463762.44"
"20260428","275603.38"
"20260429","314844.66"
"20260430","384354.74"
