"fechaproceso","saldo_activado_dia"
"20260401","577739.99"
"20260402","158908.08"
"20260403","52466.25"
"20260404","73257.66"
"20260405","67397.77"
"20260406","127184.79"
"20260407","61244.35"
"20260408","144010.7"
"20260409","74847.11"
"20260410","39985.59"
"20260411","33597.71"
"20260412","11876.18"
"20260413","44533.65"
"20260414","38152.78"
"20260415","39988.7"
"20260416","40407.19"
"20260417","33504.79"
"20260418","23793.13"
"20260419","7743.75"
"20260420","58132.86"
"20260421","25768.63"
"20260422","22174.63"
"20260423","21206.79"
"20260424","26997.74"
"20260425","18735.74"
"20260426","9515.01"
"20260427","10375.88"
"20260428","30824.73"
"20260429","68657.12"
"20260430","27370.49"
