"fechaproceso","saldo_activado_dia","creditos"
"20260401","22457.93","10"
"20260402","184349.14","153"
"20260405","227320.27","176"
"20260407","270700.16","140"
"20260408","184637.55","137"
"20260409","235708.7","168"
"20260410","189891.73","119"
"20260411","115383.55","82"
"20260412","57544.75","50"
"20260414","258094.66","219"
"20260415","213314.6","165"
"20260416","422479.39","290"
"20260417","132825.77","113"
"20260418","87542.89","77"
"20260419","86258.1","72"
"20260421","317622.44","237"
"20260422","191184.26","167"
"20260423","197474.92","155"
"20260424","169249.11","126"
"20260425","95980.67","77"
"20260426","164508.37","99"
"20260428","337005.29","240"
"20260429","246025.91","205"
"20260430","190296.23","125"
