"tramo","avance_band","creditos","saldo_total"
"a. 1-8","a. avance <10%","234","630473.11"
"a. 1-8","b. avance 10-40%","462","928311.73"
"a. 1-8","c. avance 40-70%","349","378134.74"
"a. 1-8","d. avance 70%+","147","65351.98"
"b. 9-15","a. avance <10%","85","209652.87"
"b. 9-15","b. avance 10-40%","142","265684.87"
"b. 9-15","c. avance 40-70%","61","50906.06"
"b. 9-15","d. avance 70%+","27","10964.13"
"c. 16-30","a. avance <10%","152","384615.33"
"c. 16-30","b. avance 10-40%","144","265623.89"
"c. 16-30","c. avance 40-70%","87","89703.89"
"c. 16-30","d. avance 70%+","29","9609.97"
