"fechavencimiento","creditos","saldo_en_riesgo"
"2026-06-30","7463","1.1613002E7"
"2026-07-01","2497","3567437.0"
"2026-07-02","1884","2676853.0"
"2026-07-03","1405","1909002.0"
"2026-07-04","1697","2372373.0"
"2026-07-06","3885","5619212.0"
"2026-07-07","1559","1969939.0"
"2026-07-08","1592","2013273.0"
"2026-07-09","1672","2000909.0"
"2026-07-10","1577","2070773.0"
"2026-07-11","1410","1726987.0"
"2026-07-13","2682","3391960.0"
"2026-07-14","1359","1672109.0"
"2026-07-15","2929","4731485.0"
"2026-07-16","1546","1993930.0"
"2026-07-17","1503","1853129.0"
"2026-07-18","1456","1815856.0"
"2026-07-20","3142","3941387.0"
"2026-07-21","1459","1842897.0"
"2026-07-22","1459","1799783.0"
"2026-07-24","2951","3672154.0"
"2026-07-25","2633","4466190.0"
"2026-07-27","2937","3855410.0"
"2026-07-30","7760","1.2564587E7"
