"fechavencimiento","avance_band","creditos","saldo_en_riesgo"
"2026-07-01","a. avance <10%","490","1431823.0"
"2026-07-01","b. avance 10-40%","990","1616754.0"
"2026-07-01","c. avance 40-70%","542","417874.0"
"2026-07-01","d. avance 70%+","475","100986.0"
"2026-07-02","a. avance <10%","271","816360.0"
"2026-07-02","b. avance 10-40%","766","1424983.0"
"2026-07-02","c. avance 40-70%","461","370997.0"
"2026-07-02","d. avance 70%+","386","64512.0"
"2026-07-03","a. avance <10%","229","652460.0"
"2026-07-03","b. avance 10-40%","529","908474.0"
"2026-07-03","c. avance 40-70%","391","301615.0"
"2026-07-03","d. avance 70%+","256","46453.0"
"2026-07-04","a. avance <10%","254","838504.0"
"2026-07-04","b. avance 10-40%","684","1158948.0"
"2026-07-04","c. avance 40-70%","415","330940.0"
"2026-07-04","d. avance 70%+","344","43981.0"
"2026-07-06","a. avance <10%","584","1851534.0"
"2026-07-06","b. avance 10-40%","1521","2795536.0"
"2026-07-06","c. avance 40-70%","937","846646.0"
"2026-07-06","d. avance 70%+","843","125497.0"
"2026-07-07","a. avance <10%","218","532929.0"
"2026-07-07","b. avance 10-40%","618","1078485.0"
"2026-07-07","c. avance 40-70%","417","305809.0"
"2026-07-07","d. avance 70%+","306","52717.0"
"2026-07-08","a. avance <10%","228","595260.0"
"2026-07-08","b. avance 10-40%","623","1019240.0"
"2026-07-08","c. avance 40-70%","445","352513.0"
"2026-07-08","d. avance 70%+","296","46259.0"
"2026-07-09","a. avance <10%","229","569375.0"
"2026-07-09","b. avance 10-40%","687","1091913.0"
"2026-07-09","c. avance 40-70%","447","295356.0"
"2026-07-09","d. avance 70%+","309","44265.0"
"2026-07-10","a. avance <10%","254","718516.0"
"2026-07-10","b. avance 10-40%","573","961592.0"
"2026-07-10","c. avance 40-70%","446","349651.0"
"2026-07-10","d. avance 70%+","304","41014.0"
"2026-07-11","a. avance <10%","190","491516.0"
"2026-07-11","b. avance 10-40%","541","896278.0"
"2026-07-11","c. avance 40-70%","379","288960.0"
"2026-07-11","d. avance 70%+","300","50233.0"
"2026-07-13","a. avance <10%","520","1236543.0"
"2026-07-13","b. avance 10-40%","997","1573193.0"
"2026-07-13","c. avance 40-70%","650","496723.0"
"2026-07-13","d. avance 70%+","515","85500.0"
"2026-07-14","a. avance <10%","214","523046.0"
"2026-07-14","b. avance 10-40%","523","818445.0"
"2026-07-14","c. avance 40-70%","353","286756.0"
"2026-07-14","d. avance 70%+","269","43862.0"
"2026-07-15","a. avance <10%","506","1806593.0"
"2026-07-15","b. avance 10-40%","1137","2142881.0"
"2026-07-15","c. avance 40-70%","728","680995.0"
"2026-07-15","d. avance 70%+","558","101016.0"
"2026-07-16","a. avance <10%","221","656981.0"
"2026-07-16","b. avance 10-40%","586","967504.0"
"2026-07-16","c. avance 40-70%","434","321150.0"
"2026-07-16","d. avance 70%+","305","48295.0"
"2026-07-17","a. avance <10%","212","572629.0"
"2026-07-17","b. avance 10-40%","552","915458.0"
"2026-07-17","c. avance 40-70%","439","326968.0"
"2026-07-17","d. avance 70%+","300","38073.0"
"2026-07-18","a. avance <10%","188","588097.0"
"2026-07-18","b. avance 10-40%","529","868999.0"
"2026-07-18","c. avance 40-70%","410","312614.0"
"2026-07-18","d. avance 70%+","329","46146.0"
"2026-07-20","a. avance <10%","477","1235602.0"
"2026-07-20","b. avance 10-40%","1175","1932166.0"
"2026-07-20","c. avance 40-70%","833","661720.0"
"2026-07-20","d. avance 70%+","657","111898.0"
"2026-07-21","a. avance <10%","173","439888.0"
"2026-07-21","b. avance 10-40%","616","1021623.0"
"2026-07-21","c. avance 40-70%","417","338497.0"
"2026-07-21","d. avance 70%+","253","42888.0"
"2026-07-22","a. avance <10%","208","543339.0"
"2026-07-22","b. avance 10-40%","540","874601.0"
"2026-07-22","c. avance 40-70%","424","336012.0"
"2026-07-22","d. avance 70%+","287","45831.0"
"2026-07-24","a. avance <10%","391","1109091.0"
"2026-07-24","b. avance 10-40%","1113","1774098.0"
"2026-07-24","c. avance 40-70%","831","695014.0"
"2026-07-24","d. avance 70%+","616","93951.0"
"2026-07-25","a. avance <10%","462","1644284.0"
"2026-07-25","b. avance 10-40%","1024","2099766.0"
"2026-07-25","c. avance 40-70%","648","624641.0"
"2026-07-25","d. avance 70%+","499","97499.0"
"2026-07-27","a. avance <10%","430","1254926.0"
"2026-07-27","b. avance 10-40%","1056","1833679.0"
"2026-07-27","c. avance 40-70%","830","676938.0"
"2026-07-27","d. avance 70%+","621","89867.0"
"2026-07-30","a. avance <10%","1436","5013643.0"
"2026-07-30","b. avance 10-40%","2919","5516086.0"
"2026-07-30","c. avance 40-70%","2008","1759848.0"
"2026-07-30","d. avance 70%+","1397","275010.0"
"2026-07-31","a. avance <10%","9","50185.0"
"2026-07-31","b. avance 10-40%","20","52152.0"
"2026-07-31","c. avance 40-70%","28","23453.0"
"2026-07-31","d. avance 70%+","17","7561.0"
