"fechaproceso","saldo_activado_dia"
"20260703","147780.43"
"20260704","92662.05"
"20260705","85341.54"
"20260706","398994.07"
"20260707","169003.66"
"20260708","294472.67"
"20260709","278253.17"
"20260710","420012.17"
"20260711","214827.55"
"20260712","144618.21"
"20260713","154353.84"
"20260714","470008.79"
"20260715","393049.83"
"20260716","309586.77"
"20260717","383653.25"
"20260718","207556.42"
"20260719","85170.96"
"20260720","515190.86"
"20260721","257468.13"
"20260722","261577.96"
"20260723","166077.49"
"20260724","313803.34"
"20260725","123752.54"
"20260726","140900.41"
"20260727","563266.12"
"20260728","128894.93"
"20260729","119519.15"
"20260730","490887.15"
"20260731","379136.37"
