"fechaproceso","saldo_activado_dia"
"20260701","343605.06"
"20260702","594829.47"
"20260703","398967.25"
"20260704","136234.85"
"20260705","65185.59"
"20260706","230912.4"
"20260707","148039.16"
"20260708","137992.4"
"20260709","129533.56"
"20260710","121846.16"
"20260711","74219.36"
"20260712","36820.76"
"20260713","15520.6"
"20260714","122675.32"
"20260715","75571.68"
"20260716","68325.27"
"20260717","58705.96"
"20260718","33501.78"
"20260719","11789.85"
"20260720","73769.07"
"20260721","15705.54"
"20260722","26228.6"
"20260723","12399.69"
"20260724","66546.28"
"20260725","21432.24"
"20260726","8990.24"
"20260727","23480.3"
"20260728","5765.15"
"20260729","4387.19"
"20260730","17655.8"
"20260731","55139.52"
