"fechaproceso","saldo_activado_dia","creditos"
"20260701","693146.01","437"
"20260702","403687.17","269"
"20260703","170968.29","121"
"20260704","107525.2","75"
"20260705","78488.23","60"
"20260707","329738.44","197"
"20260708","198455.45","129"
"20260709","175511.52","123"
"20260710","172225.6","132"
"20260711","105897.14","91"
"20260712","74006.75","59"
"20260714","337142.94","216"
"20260715","250706.85","186"
"20260716","444445.64","252"
"20260717","172508.31","120"
"20260718","118400.9","98"
"20260719","62986.5","57"
"20260721","418712.25","259"
"20260722","213507.45","137"
"20260723","120306.05","90"
"20260725","220404.68","168"
"20260726","182327.71","119"
"20260728","134918.41","110"
"20260731","1122886.26","630"
