"tramo","avance_band","creditos","saldo_total"
"a. 1-8","a. avance <10%","412","1099487.79"
"a. 1-8","b. avance 10-40%","687","1301980.65"
"a. 1-8","c. avance 40-70%","495","485975.94"
"a. 1-8","d. avance 70%+","218","93448.19"
"b. 9-15","a. avance <10%","102","319359.69"
"b. 9-15","b. avance 10-40%","157","317597.02"
"b. 9-15","c. avance 40-70%","120","106406.87"
"b. 9-15","d. avance 70%+","43","22502.53"
"c. 16-30","a. avance <10%","140","387518.34"
"c. 16-30","b. avance 10-40%","182","351189.28"
"c. 16-30","c. avance 40-70%","127","121277.35"
"c. 16-30","d. avance 70%+","42","21040.92"
