"fechavencimiento","avance_band","creditos","saldo_en_riesgo"
"2026-06-01","a. avance <10%","364","1152976.0"
"2026-06-01","b. avance 10-40%","930","1587672.0"
"2026-06-01","c. avance 40-70%","586","484796.0"
"2026-06-01","d. avance 70%+","454","89295.0"
"2026-06-02","a. avance <10%","356","959995.0"
"2026-06-02","b. avance 10-40%","745","1341992.0"
"2026-06-02","c. avance 40-70%","463","384040.0"
"2026-06-02","d. avance 70%+","346","56787.0"
"2026-06-03","a. avance <10%","228","632719.0"
"2026-06-03","b. avance 10-40%","539","879435.0"
"2026-06-03","c. avance 40-70%","340","318653.0"
"2026-06-03","d. avance 70%+","282","43028.0"
"2026-06-04","a. avance <10%","303","904519.0"
"2026-06-04","b. avance 10-40%","719","1195798.0"
"2026-06-04","c. avance 40-70%","398","314646.0"
"2026-06-04","d. avance 70%+","302","49011.0"
"2026-06-05","a. avance <10%","369","1182871.0"
"2026-06-05","b. avance 10-40%","880","1712525.0"
"2026-06-05","c. avance 40-70%","557","537466.0"
"2026-06-05","d. avance 70%+","511","93154.0"
"2026-06-06","a. avance <10%","228","601420.0"
"2026-06-06","b. avance 10-40%","572","961068.0"
"2026-06-06","c. avance 40-70%","388","298379.0"
"2026-06-06","d. avance 70%+","330","57775.0"
"2026-06-08","a. avance <10%","484","1168828.0"
"2026-06-08","b. avance 10-40%","1196","2031012.0"
"2026-06-08","c. avance 40-70%","832","676244.0"
"2026-06-08","d. avance 70%+","677","92839.0"
"2026-06-09","a. avance <10%","345","750974.0"
"2026-06-09","b. avance 10-40%","690","989083.0"
"2026-06-09","c. avance 40-70%","400","292383.0"
"2026-06-09","d. avance 70%+","310","44432.0"
"2026-06-10","a. avance <10%","262","668948.0"
"2026-06-10","b. avance 10-40%","612","983656.0"
"2026-06-10","c. avance 40-70%","370","290392.0"
"2026-06-10","d. avance 70%+","294","43134.0"
"2026-06-11","a. avance <10%","221","524442.0"
"2026-06-11","b. avance 10-40%","598","945119.0"
"2026-06-11","c. avance 40-70%","371","281356.0"
"2026-06-11","d. avance 70%+","265","41607.0"
"2026-06-12","a. avance <10%","207","567375.0"
"2026-06-12","b. avance 10-40%","493","685939.0"
"2026-06-12","c. avance 40-70%","308","233362.0"
"2026-06-12","d. avance 70%+","260","54031.0"
"2026-06-13","a. avance <10%","187","515514.0"
"2026-06-13","b. avance 10-40%","498","835915.0"
"2026-06-13","c. avance 40-70%","350","262894.0"
"2026-06-13","d. avance 70%+","235","41880.0"
"2026-06-15","a. avance <10%","648","2061401.0"
"2026-06-15","b. avance 10-40%","1673","2964382.0"
"2026-06-15","c. avance 40-70%","1140","1004551.0"
"2026-06-15","d. avance 70%+","866","128433.0"
"2026-06-16","a. avance <10%","273","749389.0"
"2026-06-16","b. avance 10-40%","591","922047.0"
"2026-06-16","c. avance 40-70%","429","346553.0"
"2026-06-16","d. avance 70%+","316","42804.0"
"2026-06-17","a. avance <10%","288","676236.0"
"2026-06-17","b. avance 10-40%","587","925743.0"
"2026-06-17","c. avance 40-70%","413","304302.0"
"2026-06-17","d. avance 70%+","318","42549.0"
"2026-06-18","a. avance <10%","222","655803.0"
"2026-06-18","b. avance 10-40%","580","880119.0"
"2026-06-18","c. avance 40-70%","405","302644.0"
"2026-06-18","d. avance 70%+","287","46572.0"
"2026-06-19","a. avance <10%","209","509365.0"
"2026-06-19","b. avance 10-40%","557","815861.0"
"2026-06-19","c. avance 40-70%","363","283474.0"
"2026-06-19","d. avance 70%+","299","53983.0"
"2026-06-20","a. avance <10%","265","727154.0"
"2026-06-20","b. avance 10-40%","620","1060914.0"
"2026-06-20","c. avance 40-70%","474","403906.0"
"2026-06-20","d. avance 70%+","324","53865.0"
"2026-06-22","a. avance <10%","359","958371.0"
"2026-06-22","b. avance 10-40%","1263","2007654.0"
"2026-06-22","c. avance 40-70%","831","679095.0"
"2026-06-22","d. avance 70%+","612","72008.0"
"2026-06-23","a. avance <10%","268","618636.0"
"2026-06-23","b. avance 10-40%","655","979765.0"
"2026-06-23","c. avance 40-70%","439","357283.0"
"2026-06-23","d. avance 70%+","308","47001.0"
"2026-06-24","a. avance <10%","224","553479.0"
"2026-06-24","b. avance 10-40%","554","875295.0"
"2026-06-24","c. avance 40-70%","381","312581.0"
"2026-06-24","d. avance 70%+","325","53410.0"
"2026-06-25","a. avance <10%","476","1562293.0"
"2026-06-25","b. avance 10-40%","1068","2045547.0"
"2026-06-25","c. avance 40-70%","653","633645.0"
"2026-06-25","d. avance 70%+","468","89801.0"
"2026-06-26","a. avance <10%","200","595970.0"
"2026-06-26","b. avance 10-40%","602","982226.0"
"2026-06-26","c. avance 40-70%","454","349178.0"
"2026-06-26","d. avance 70%+","321","51140.0"
"2026-06-27","a. avance <10%","203","526726.0"
"2026-06-27","b. avance 10-40%","479","837237.0"
"2026-06-27","c. avance 40-70%","423","355328.0"
"2026-06-27","d. avance 70%+","304","45008.0"
"2026-06-30","a. avance <10%","1266","4353856.0"
"2026-06-30","b. avance 10-40%","2543","4521452.0"
"2026-06-30","c. avance 40-70%","1698","1566704.0"
"2026-06-30","d. avance 70%+","1382","238432.0"
