"fechaproceso","saldo_activado_dia"
"20260603","113567.36"
"20260604","153920.03"
"20260605","199584.92"
"20260606","128493.92"
"20260607","100600.69"
"20260608","401333.07"
"20260609","210783.88"
"20260610","204305.86"
"20260611","240078.07"
"20260612","275224.23"
"20260613","140765.63"
"20260614","95933.65"
"20260615","405031.26"
"20260616","195048.88"
"20260617","421231.71"
"20260618","280436.68"
"20260619","322833.32"
"20260620","175819.67"
"20260621","88459.69"
"20260622","471748.07"
"20260623","158202.87"
"20260624","244435.07"
"20260625","291001.56"
"20260626","372192.13"
"20260627","242497.56"
"20260628","170560.48"
"20260629","197330.04"
"20260630","463957.82"
