"fechaproceso","saldo_activado_dia"
"20260601","672451.45"
"20260602","374539.95"
"20260603","249182.28"
"20260604","139323.48"
"20260605","108831.81"
"20260606","67440.19"
"20260607","30862.99"
"20260608","67324.7"
"20260609","62499.91"
"20260610","54805.1"
"20260611","62499.3"
"20260612","50021.22"
"20260613","22570.22"
"20260614","8549.44"
"20260615","61695.13"
"20260616","74515.72"
"20260617","38320.42"
"20260618","27805.7"
"20260619","38669.76"
"20260620","15320.54"
"20260621","9628.56"
"20260622","29811.21"
"20260623","15745.12"
"20260624","19308.61"
"20260625","18729.89"
"20260626","33402.06"
"20260627","21605.52"
"20260628","14053.82"
"20260629","12269.08"
"20260630","34503.38"
