"fechaproceso","saldo_activado_dia","creditos"
"20260602","241699.67","204"
"20260603","229925.21","164"
"20260604","162334.26","124"
"20260605","185280.69","115"
"20260606","174382.17","95"
"20260607","88322.73","54"
"20260609","350539.27","251"
"20260610","183428.9","134"
"20260611","171056.72","123"
"20260612","144332.52","125"
"20260613","72023.98","62"
"20260614","84933.68","51"
"20260616","489382.33","335"
"20260617","155170.34","141"
"20260618","178777.56","133"
"20260619","166391.14","120"
"20260620","105597.71","77"
"20260621","97433.66","57"
"20260623","284062.78","244"
"20260624","209943.73","159"
"20260625","235239.42","153"
"20260626","386699.82","229"
"20260627","125059.98","95"
"20260628","76412.09","71"
