"fechaproceso","rebaje_dia"
"20260602","0.0"
"20260603","20137.749999999996"
"20260604","23412.579999999998"
"20260605","30283.870000000003"
"20260606","21437.38"
"20260607","16420.22"
"20260608","60204.400000000016"
"20260609","33642.47"
"20260610","39138.47999999998"
"20260611","45475.05"
"20260612","41090.740000000005"
"20260613","27294.179999999997"
"20260614","18651.469999999998"
"20260615","76210.02999999998"
"20260616","38464.04999999999"
"20260617","70429.18999999997"
"20260618","43688.21"
"20260619","64981.02000000002"
"20260620","29863.870000000003"
"20260621","15960.450000000004"
"20260622","88702.30999999997"
"20260623","32642.66"
"20260624","44549.75999999998"
"20260625","57938.96000000002"
"20260626","53257.86"
"20260627","49891.39000000003"
"20260628","30848.809999999994"
"20260629","35903.39"
"20260630","85611.76000000005"
