"fechaproceso","rebaje_dia"
"20260601","105144.06000000001"
"20260602","60100.32000000001"
"20260603","45368.85999999999"
"20260604","24396.30999999999"
"20260605","16894.349999999995"
"20260606","11680.47"
"20260607","5377.92"
"20260608","12358.849999999997"
"20260609","15149.090000000004"
"20260610","7490.329999999997"
"20260611","11294.370000000003"
"20260612","9616.759999999998"
"20260613","9328.920000000002"
"20260614","2115.3199999999997"
"20260615","11121.930000000004"
"20260616","14275.079999999998"
"20260617","6971.450000000003"
"20260618","7535.9400000000005"
"20260619","11170.579999999998"
"20260620","4829.820000000001"
"20260621","2024.9799999999998"
"20260622","11638.990000000005"
"20260623","8748.91"
"20260624","8967.749999999998"
"20260625","12934.47"
"20260626","13130.840000000002"
"20260627","20059.879999999997"
"20260628","6777.299999999999"
"20260629","10510.869999999995"
"20260630","30668.280000000002"
