"tramo","avance_band","creditos","saldo_total"
"a. 1-8","a. avance <10%","381","943237.0"
"a. 1-8","b. avance 10-40%","545","1099423.0"
"a. 1-8","c. avance 40-70%","412","418543.0"
"a. 1-8","d. avance 70%+","156","69014.0"
"b. 9-15","a. avance <10%","86","212025.0"
"b. 9-15","b. avance 10-40%","140","267751.0"
"b. 9-15","c. avance 40-70%","81","72111.0"
"b. 9-15","d. avance 70%+","25","11015.0"
"c. 16-30","a. avance <10%","169","441827.0"
"c. 16-30","b. avance 10-40%","169","308900.0"
"c. 16-30","c. avance 40-70%","120","145525.0"
"c. 16-30","d. avance 70%+","48","21598.0"
