"tramo","avance_band","creditos","saldo_total"
"a. 1-8","a. avance <10%","381","943237.28"
"a. 1-8","b. avance 10-40%","543","1097487.23"
"a. 1-8","c. avance 40-70%","410","417471.15"
"a. 1-8","d. avance 70%+","156","69014.44"
"b. 9-15","a. avance <10%","86","212024.5"
"b. 9-15","b. avance 10-40%","139","266168.03"
"b. 9-15","c. avance 40-70%","81","72111.3"
"b. 9-15","d. avance 70%+","25","11015.24"
"c. 16-30","a. avance <10%","168","440300.09"
"c. 16-30","b. avance 10-40%","170","310427.33"
"c. 16-30","c. avance 40-70%","120","145524.93"
"c. 16-30","d. avance 70%+","48","21597.94"
