"fechavencimiento","creditos","saldo_en_riesgo"
"2026-04-30","3334","5545195.0"
"2026-05-02","3837","5236313.0"
"2026-05-04","2660","3536298.0"
"2026-05-05","2086","3054518.0"
"2026-05-06","1330","1675701.0"
"2026-05-07","1389","1740410.0"
"2026-05-08","1423","1642381.0"
"2026-05-09","1249","1455603.0"
"2026-05-11","2542","3280486.0"
"2026-05-12","1104","1298877.0"
"2026-05-13","1149","1452068.0"
"2026-05-14","1268","1447594.0"
"2026-05-15","2710","3943706.0"
"2026-05-16","1329","1675576.0"
"2026-05-18","2656","2995533.0"
"2026-05-19","1303","1504082.0"
"2026-05-20","1557","2009313.0"
"2026-05-21","1469","1793734.0"
"2026-05-22","1489","1720229.0"
"2026-05-23","1441","1734184.0"
"2026-05-25","3681","5193166.0"
"2026-05-26","1551","1908329.0"
"2026-05-27","1376","1624048.0"
"2026-05-28","1959","2468335.0"
"2026-05-29","981","1205985.0"
"2026-05-30","3573","5817312.0"
