"fechavencimiento","avance_band","creditos","saldo_en_riesgo"
"2026-05-02","a. avance <10%","691","2019092.0"
"2026-05-02","b. avance 10-40%","1373","2304425.0"
"2026-05-02","c. avance 40-70%","953","789717.0"
"2026-05-02","d. avance 70%+","820","123080.0"
"2026-05-04","a. avance <10%","434","1242088.0"
"2026-05-04","b. avance 10-40%","1041","1711213.0"
"2026-05-04","c. avance 40-70%","620","499111.0"
"2026-05-04","d. avance 70%+","565","83886.0"
"2026-05-05","a. avance <10%","323","990350.0"
"2026-05-05","b. avance 10-40%","807","1545636.0"
"2026-05-05","c. avance 40-70%","489","432467.0"
"2026-05-05","d. avance 70%+","467","86064.0"
"2026-05-06","a. avance <10%","193","520626.0"
"2026-05-06","b. avance 10-40%","478","826980.0"
"2026-05-06","c. avance 40-70%","343","277737.0"
"2026-05-06","d. avance 70%+","316","50358.0"
"2026-05-07","a. avance <10%","187","569014.0"
"2026-05-07","b. avance 10-40%","487","795966.0"
"2026-05-07","c. avance 40-70%","400","331460.0"
"2026-05-07","d. avance 70%+","315","43971.0"
"2026-05-08","a. avance <10%","169","387899.0"
"2026-05-08","b. avance 10-40%","528","906934.0"
"2026-05-08","c. avance 40-70%","407","306996.0"
"2026-05-08","d. avance 70%+","319","40552.0"
"2026-05-09","a. avance <10%","159","375359.0"
"2026-05-09","b. avance 10-40%","462","767392.0"
"2026-05-09","c. avance 40-70%","342","265012.0"
"2026-05-09","d. avance 70%+","286","47840.0"
"2026-05-11","a. avance <10%","435","1125735.0"
"2026-05-11","b. avance 10-40%","1005","1600645.0"
"2026-05-11","c. avance 40-70%","639","486291.0"
"2026-05-11","d. avance 70%+","463","67815.0"
"2026-05-12","a. avance <10%","181","484894.0"
"2026-05-12","b. avance 10-40%","423","562151.0"
"2026-05-12","c. avance 40-70%","294","221284.0"
"2026-05-12","d. avance 70%+","206","30548.0"
"2026-05-13","a. avance <10%","176","454004.0"
"2026-05-13","b. avance 10-40%","440","741028.0"
"2026-05-13","c. avance 40-70%","296","222603.0"
"2026-05-13","d. avance 70%+","237","34433.0"
"2026-05-14","a. avance <10%","161","408268.0"
"2026-05-14","b. avance 10-40%","484","720756.0"
"2026-05-14","c. avance 40-70%","342","277869.0"
"2026-05-14","d. avance 70%+","281","40701.0"
"2026-05-15","a. avance <10%","406","1331085.0"
"2026-05-15","b. avance 10-40%","1072","1921751.0"
"2026-05-15","c. avance 40-70%","670","598670.0"
"2026-05-15","d. avance 70%+","562","92199.0"
"2026-05-16","a. avance <10%","192","538763.0"
"2026-05-16","b. avance 10-40%","478","801823.0"
"2026-05-16","c. avance 40-70%","352","289916.0"
"2026-05-16","d. avance 70%+","307","45074.0"
"2026-05-18","a. avance <10%","371","860688.0"
"2026-05-18","b. avance 10-40%","1004","1550654.0"
"2026-05-18","c. avance 40-70%","692","491517.0"
"2026-05-18","d. avance 70%+","589","92674.0"
"2026-05-19","a. avance <10%","201","449136.0"
"2026-05-19","b. avance 10-40%","499","766581.0"
"2026-05-19","c. avance 40-70%","327","241880.0"
"2026-05-19","d. avance 70%+","276","46486.0"
"2026-05-20","a. avance <10%","239","616208.0"
"2026-05-20","b. avance 10-40%","583","986527.0"
"2026-05-20","c. avance 40-70%","399","351877.0"
"2026-05-20","d. avance 70%+","336","54701.0"
"2026-05-21","a. avance <10%","213","518281.0"
"2026-05-21","b. avance 10-40%","580","948125.0"
"2026-05-21","c. avance 40-70%","378","287026.0"
"2026-05-21","d. avance 70%+","298","40302.0"
"2026-05-22","a. avance <10%","221","529031.0"
"2026-05-22","b. avance 10-40%","589","884559.0"
"2026-05-22","c. avance 40-70%","369","275947.0"
"2026-05-22","d. avance 70%+","310","30693.0"
"2026-05-23","a. avance <10%","230","537870.0"
"2026-05-23","b. avance 10-40%","539","855421.0"
"2026-05-23","c. avance 40-70%","388","299035.0"
"2026-05-23","d. avance 70%+","284","41858.0"
"2026-05-25","a. avance <10%","621","1716082.0"
"2026-05-25","b. avance 10-40%","1433","2555757.0"
"2026-05-25","c. avance 40-70%","886","793609.0"
"2026-05-25","d. avance 70%+","741","127718.0"
"2026-05-26","a. avance <10%","262","659661.0"
"2026-05-26","b. avance 10-40%","592","895957.0"
"2026-05-26","c. avance 40-70%","383","309185.0"
"2026-05-26","d. avance 70%+","314","43526.0"
"2026-05-27","a. avance <10%","180","404442.0"
"2026-05-27","b. avance 10-40%","521","875439.0"
"2026-05-27","c. avance 40-70%","364","291241.0"
"2026-05-27","d. avance 70%+","311","52927.0"
"2026-05-28","a. avance <10%","237","722568.0"
"2026-05-28","b. avance 10-40%","839","1309697.0"
"2026-05-28","c. avance 40-70%","530","383134.0"
"2026-05-28","d. avance 70%+","353","52936.0"
"2026-05-29","a. avance <10%","174","477772.0"
"2026-05-29","b. avance 10-40%","345","508948.0"
"2026-05-29","c. avance 40-70%","231","169563.0"
"2026-05-29","d. avance 70%+","231","49701.0"
"2026-05-30","a. avance <10%","694","2093656.0"
"2026-05-30","b. avance 10-40%","1312","2687414.0"
"2026-05-30","c. avance 40-70%","797","865206.0"
"2026-05-30","d. avance 70%+","770","171036.0"
