"fechaproceso","saldo_activado_dia"
"20260504","433672.84"
"20260505","209038.8"
"20260506","256125.53"
"20260507","257844.16"
"20260508","198751.13"
"20260509","143273.03"
"20260510","89775.55"
"20260511","340339.57"
"20260512","195558.76"
"20260513","260214.48"
"20260514","194655.68"
"20260515","326852.63"
"20260516","187779.46"
"20260517","133969.56"
"20260518","469938.82"
"20260519","228241.07"
"20260520","298718.93"
"20260521","246009.26"
"20260522","249046.68"
"20260523","141979.81"
"20260524","135602.86"
"20260525","423552.32"
"20260526","229248.0"
"20260527","303455.44"
"20260528","227262.73"
"20260529","288963.86"
"20260530","234856.52"
"20260531","140581.78"
