"fechaproceso","saldo_activado_dia"
"20260501","219882.98"
"20260502","389464.23"
"20260503","135851.84"
"20260504","370462.11"
"20260505","221966.69"
"20260506","148528.24"
"20260507","108166.36"
"20260508","107505.04"
"20260509","49455.52"
"20260510","13564.27"
"20260511","51712.19"
"20260512","44712.54"
"20260513","74646.31"
"20260514","64131.39"
"20260515","72107.49"
"20260516","61294.15"
"20260517","28394.86"
"20260518","39994.07"
"20260519","59662.15"
"20260520","35759.93"
"20260521","25371.76"
"20260522","17164.89"
"20260523","9410.34"
"20260524","4376.86"
"20260525","14992.67"
"20260526","47738.64"
"20260527","14166.69"
"20260528","24684.02"
"20260529","42500.32"
"20260530","20535.37"
"20260531","2963.38"
