"fechaproceso","saldo_activado_dia","creditos"
"20260501","230383.45","131"
"20260503","288970.57","188"
"20260505","441217.91","281"
"20260506","276479.73","180"
"20260507","170740.68","125"
"20260508","136778.58","92"
"20260509","78426.12","71"
"20260510","50256.13","39"
"20260512","337198.4","234"
"20260513","178364.49","129"
"20260514","194611.68","112"
"20260515","145517.96","115"
"20260516","223104.31","159"
"20260517","86582.62","70"
"20260519","230708.35","199"
"20260520","149236.64","127"
"20260521","184884.82","137"
"20260522","191973.72","144"
"20260523","122843.41","97"
"20260524","60880.81","62"
"20260526","478767.18","310"
"20260527","204333.99","156"
"20260528","239254.75","154"
"20260529","300747.54","189"
"20260530","69477.29","63"
"20260531","259718.38","162"
