"tramo","avance_band","creditos","saldo_total"
"a. 1-8","a. avance <10%","350","858965.95"
"a. 1-8","b. avance 10-40%","513","1058557.39"
"a. 1-8","c. avance 40-70%","417","416881.96"
"a. 1-8","d. avance 70%+","180","83738.58"
"b. 9-15","a. avance <10%","104","250232.11"
"b. 9-15","b. avance 10-40%","128","228924.69"
"b. 9-15","c. avance 40-70%","75","77070.69"
"b. 9-15","d. avance 70%+","26","13102.58"
"c. 16-30","a. avance <10%","141","367056.27"
"c. 16-30","b. avance 10-40%","168","326270.63"
"c. 16-30","c. avance 40-70%","96","105512.79"
"c. 16-30","d. avance 70%+","34","13922.78"
