dia,proy_stock,proy_nuevos,proy_total,real_stock,real_nuevos,real_total
1,293743.23,874177.2,1167920.42,329915.83,903972.48,1233888.31
2,507005.41,1574735.92,2081741.33,536816.73,1677070.14,2213886.87
3,645636.19,2140420.74,2786056.93,694711.39,2235332.08,2930043.47
4,740132.39,2634605.76,3374738.15,755095.22,2504332.6,3259427.82
5,843647.4,3091866.99,3935514.39,787329.09,2699973.2,3487302.29
6,919207.58,3360774.58,4279982.16,925256.72,3191165.48,4116422.2
7,965274.91,3961463.08,4926737.99,1020099.06,3725348.24,4745447.3
8,1024491.42,4446526.09,5471017.51,1083599.45,4291948.07,5375547.52
9,1071211.67,4892155.3,5963366.97,1145572.48,4794834.73,5940407.21
10,1114593.65,5328629.9,6443223.55,1211553.0,5437940.44,6649493.44
11,1159486.29,5750726.84,6910213.13,1266254.99,5771425.04,7037680.03
12,1198134.13,6136640.07,7334774.19,1282590.74,6011007.33,7293598.07
13,1236610.18,6384382.87,7620993.05,1295167.34,6163044.16,7458211.5
14,1274102.45,6810134.7,8084237.15,1384145.16,6992449.95,8376595.11
15,1320486.34,7199740.39,8520226.73,1451008.79,7649431.01,9100439.8
16,1363999.7,7792600.38,9156600.08,1502545.88,8411747.09,9914292.97
17,1395799.24,8291664.94,9687464.17,1540464.49,8983593.08,10524057.57
18,1423685.35,8727849.92,10151535.27,1560545.2,9321680.29,10882225.49
19,1454484.88,9144522.04,10599006.92,1571786.57,9469821.14,11041607.71
20,1485095.8,9406232.22,10891328.02,1623315.2,9993997.61,11617312.81
21,1515427.2,9880957.11,11396384.3,1655892.92,10655550.82,12311443.74
22,1539749.07,10308208.65,11847957.72,1678801.1,11129188.92,12807990.02
23,1566192.24,10699240.32,12265432.56,1699090.16,11382724.64,13081814.8
24,1592005.94,10962094.03,12554099.97,1748086.34,11737288.07,13485374.41
25,1614618.46,11416037.17,13030655.63,1788061.96,12074718.99,13862780.95
26,1647056.84,12020203.1,13667259.94,1802500.37,12395677.99,14198178.36
27,1682769.44,12368386.82,14051156.26,1843185.1,12944842.63,14788027.73
28,1739964.09,12883110.85,14623074.94,1853880.04,13192381.51,15046261.55
29,1798174.17,13207589.99,15005764.17,1864412.68,13303259.14,15167671.82
30,1881522.08,13418956.2,15300478.28,1921992.71,13735529.45,15657522.16
31,1915570.68,14539284.27,16454854.95,2005082.77,15322412.52,17327495.29
