"avance_band","dia","pct_capital_asegurado_acum","saldo_entrada_total","entradas"
"a. avance <10%","1","26.506","4.089197817E7","17206"
"a. avance <10%","2","40.262","4.089197817E7","17206"
"a. avance <10%","3","50.151","4.089197817E7","17206"
"a. avance <10%","4","55.523","4.089197817E7","17206"
"a. avance <10%","5","59.154","4.089197817E7","17206"
"a. avance <10%","6","62.16","4.089197817E7","17206"
"a. avance <10%","7","64.404","4.089197817E7","17206"
"a. avance <10%","8","67.104","4.089197817E7","17206"
"a. avance <10%","9","68.904","4.089197817E7","17206"
"a. avance <10%","10","70.544","4.089197817E7","17206"
"a. avance <10%","11","71.791","4.089197817E7","17206"
"a. avance <10%","12","72.924","4.089197817E7","17206"
"a. avance <10%","13","73.982","4.089197817E7","17206"
"a. avance <10%","14","74.896","4.089197817E7","17206"
"a. avance <10%","15","75.793","4.089197817E7","17206"
"a. avance <10%","16","76.491","4.089197817E7","17206"
"a. avance <10%","17","77.013","4.089197817E7","17206"
"a. avance <10%","18","77.435","4.089197817E7","17206"
"a. avance <10%","19","77.977","4.089197817E7","17206"
"a. avance <10%","20","78.429","4.089197817E7","17206"
"a. avance <10%","21","78.731","4.089197817E7","17206"
"a. avance <10%","22","78.999","4.089197817E7","17206"
"a. avance <10%","23","79.276","4.089197817E7","17206"
"a. avance <10%","24","79.656","4.089197817E7","17206"
"a. avance <10%","25","80.06","4.089197817E7","17206"
"a. avance <10%","26","80.295","4.089197817E7","17206"
"a. avance <10%","27","80.59","4.089197817E7","17206"
"a. avance <10%","28","80.902","4.089197817E7","17206"
"a. avance <10%","29","81.424","4.089197817E7","17206"
"a. avance <10%","30","81.848","4.089197817E7","17206"
"a. avance <10%","31","82.069","4.089197817E7","17206"
"b. avance 10-40%","1","24.741","4.4403155589999996E7","24019"
"b. avance 10-40%","2","38.956","4.4403155589999996E7","24019"
"b. avance 10-40%","3","50.196","4.4403155589999996E7","24019"
"b. avance 10-40%","4","56.345","4.4403155589999996E7","24019"
"b. avance 10-40%","5","60.723","4.4403155589999996E7","24019"
"b. avance 10-40%","6","64.645","4.4403155589999996E7","24019"
"b. avance 10-40%","7","67.24","4.4403155589999996E7","24019"
"b. avance 10-40%","8","70.438","4.4403155589999996E7","24019"
"b. avance 10-40%","9","72.751","4.4403155589999996E7","24019"
