"tramo","avance_band","dia","pct_capital_asegurado_acum","saldo_total","creditos_total"
"a. 1-8","a. avance <10%","1","12.439","9726380.59","3648"
"a. 1-8","a. avance <10%","2","27.522","9726380.59","3648"
"a. 1-8","a. avance <10%","3","34.897","9726380.59","3648"
"a. 1-8","a. avance <10%","4","40.657","9726380.59","3648"
"a. 1-8","a. avance <10%","5","45.232","9726380.59","3648"
"a. 1-8","a. avance <10%","6","47.897","9726380.59","3648"
"a. 1-8","a. avance <10%","7","50.496","9726380.59","3648"
"a. 1-8","a. avance <10%","8","52.526","9726380.59","3648"
"a. 1-8","a. avance <10%","9","54.415","9726380.59","3648"
"a. 1-8","a. avance <10%","10","55.845","9726380.59","3648"
"a. 1-8","a. avance <10%","11","57.35","9726380.59","3648"
"a. 1-8","a. avance <10%","12","58.574","9726380.59","3648"
"a. 1-8","a. avance <10%","13","59.792","9726380.59","3648"
"a. 1-8","a. avance <10%","14","60.759","9726380.59","3648"
"a. 1-8","a. avance <10%","15","62.336","9726380.59","3648"
"a. 1-8","a. avance <10%","16","63.734","9726380.59","3648"
"a. 1-8","a. avance <10%","17","64.571","9726380.59","3648"
"a. 1-8","a. avance <10%","18","65.142","9726380.59","3648"
"a. 1-8","a. avance <10%","19","65.726","9726380.59","3648"
"a. 1-8","a. avance <10%","20","66.539","9726380.59","3648"
"a. 1-8","a. avance <10%","21","66.965","9726380.59","3648"
"a. 1-8","a. avance <10%","22","67.262","9726380.59","3648"
"a. 1-8","a. avance <10%","23","67.928","9726380.59","3648"
"a. 1-8","a. avance <10%","24","68.22","9726380.59","3648"
"a. 1-8","a. avance <10%","25","68.783","9726380.59","3648"
"a. 1-8","a. avance <10%","26","69.267","9726380.59","3648"
"a. 1-8","a. avance <10%","27","69.709","9726380.59","3648"
"a. 1-8","a. avance <10%","28","70.041","9726380.59","3648"
"a. 1-8","a. avance <10%","29","70.775","9726380.59","3648"
"a. 1-8","a. avance <10%","30","71.571","9726380.59","3648"
"a. 1-8","a. avance <10%","31","71.716","9726380.59","3648"
"a. 1-8","b. avance 10-40%","1","14.169","1.1064579019999992E7","5467"
"a. 1-8","b. avance 10-40%","2","30.465","1.1064579019999992E7","5467"
"a. 1-8","b. avance 10-40%","3","39.701","1.1064579019999992E7","5467"
"a. 1-8","b. avance 10-40%","4","45.824","1.1064579019999992E7","5467"
"a. 1-8","b. avance 10-40%","5","50.889","1.1064579019999992E7","5467"
"a. 1-8","b. avance 10-40%","6","53.907","1.1064579019999992E7","5467"
"a. 1-8","b. avance 10-40%","7","56.044","1.1064579019999992E7","5467"
"a. 1-8","b. avance 10-40%","8","58.466","1.1064579019999992E7","5467"
"a. 1-8","b. avance 10-40%","9","60.58","1.1064579019999992E7","5467"
"a. 1-8","b. avance 10-40%","10","61.963","1.1064579019999992E7","5467"
"a. 1-8","b. avance 10-40%","11","63.604","1.1064579019999992E7","5467"
"a. 1-8","b. avance 10-40%","12","65.231","1.1064579019999992E7","5467"
"a. 1-8","b. avance 10-40%","13","66.737","1.1064579019999992E7","5467"
"a. 1-8","b. avance 10-40%","14","68.262","1.1064579019999992E7","5467"
"a. 1-8","b. avance 10-40%","15","69.599","1.1064579019999992E7","5467"
"a. 1-8","b. avance 10-40%","16","70.904","1.1064579019999992E7","5467"
"a. 1-8","b. avance 10-40%","17","71.781","1.1064579019999992E7","5467"
"a. 1-8","b. avance 10-40%","18","72.508","1.1064579019999992E7","5467"
"a. 1-8","b. avance 10-40%","19","73.761","1.1064579019999992E7","5467"
"a. 1-8","b. avance 10-40%","20","74.98","1.1064579019999992E7","5467"
"a. 1-8","b. avance 10-40%","21","75.889","1.1064579019999992E7","5467"
"a. 1-8","b. avance 10-40%","22","76.995","1.1064579019999992E7","5467"
"a. 1-8","b. avance 10-40%","23","77.455","1.1064579019999992E7","5467"
