"avance_band","dia","pct_capital_asegurado_acum","saldo_entrada_total","entradas"
"a. avance <10%","0","36.969","6.467770210999998E7","29629"
"a. avance <10%","1","53.912","6.467770210999998E7","29629"
"a. avance <10%","2","62.502","6.467770210999998E7","29629"
"a. avance <10%","3","68.642","6.467770210999998E7","29629"
"a. avance <10%","4","72.026","6.467770210999998E7","29629"
"a. avance <10%","5","74.305","6.467770210999998E7","29629"
"a. avance <10%","6","76.196","6.467770210999998E7","29629"
"a. avance <10%","7","77.592","6.467770210999998E7","29629"
"a. avance <10%","8","79.202","6.467770210999998E7","29629"
"a. avance <10%","9","80.264","6.467770210999998E7","29629"
"a. avance <10%","10","81.295","6.467770210999998E7","29629"
"a. avance <10%","11","82.069","6.467770210999998E7","29629"
"a. avance <10%","12","82.744","6.467770210999998E7","29629"
"a. avance <10%","13","83.342","6.467770210999998E7","29629"
"a. avance <10%","14","83.912","6.467770210999998E7","29629"
"a. avance <10%","15","84.482","6.467770210999998E7","29629"
"a. avance <10%","16","84.96","6.467770210999998E7","29629"
"a. avance <10%","17","85.291","6.467770210999998E7","29629"
"a. avance <10%","18","85.585","6.467770210999998E7","29629"
"a. avance <10%","19","85.925","6.467770210999998E7","29629"
"a. avance <10%","20","86.191","6.467770210999998E7","29629"
"a. avance <10%","21","86.381","6.467770210999998E7","29629"
"a. avance <10%","22","86.529","6.467770210999998E7","29629"
"a. avance <10%","23","86.71","6.467770210999998E7","29629"
"a. avance <10%","24","86.965","6.467770210999998E7","29629"
"a. avance <10%","25","87.208","6.467770210999998E7","29629"
"a. avance <10%","26","87.33","6.467770210999998E7","29629"
"a. avance <10%","27","87.493","6.467770210999998E7","29629"
"a. avance <10%","28","87.661","6.467770210999998E7","29629"
"a. avance <10%","29","87.933","6.467770210999998E7","29629"
"a. avance <10%","30","88.205","6.467770210999998E7","29629"
"a. avance <10%","31","88.316","6.467770210999998E7","29629"
"b. avance 10-40%","0","32.886","6.771721568999998E7","38706"
"b. avance 10-40%","1","49.845","6.771721568999998E7","38706"
"b. avance 10-40%","2","59.323","6.771721568999998E7","38706"
"b. avance 10-40%","3","66.903","6.771721568999998E7","38706"
"b. avance 10-40%","4","71.029","6.771721568999998E7","38706"
"b. avance 10-40%","5","73.969","6.771721568999998E7","38706"
"b. avance 10-40%","6","76.61","6.771721568999998E7","38706"
"b. avance 10-40%","7","78.359","6.771721568999998E7","38706"
"b. avance 10-40%","8","80.517","6.771721568999998E7","38706"
"b. avance 10-40%","9","82.091","6.771721568999998E7","38706"
"b. avance 10-40%","10","83.318","6.771721568999998E7","38706"
"b. avance 10-40%","11","84.285","6.771721568999998E7","38706"
"b. avance 10-40%","12","85.093","6.771721568999998E7","38706"
"b. avance 10-40%","13","85.906","6.771721568999998E7","38706"
"b. avance 10-40%","14","86.731","6.771721568999998E7","38706"
"b. avance 10-40%","15","87.596","6.771721568999998E7","38706"
"b. avance 10-40%","16","88.124","6.771721568999998E7","38706"
"b. avance 10-40%","17","88.542","6.771721568999998E7","38706"
"b. avance 10-40%","18","88.984","6.771721568999998E7","38706"
"b. avance 10-40%","19","89.326","6.771721568999998E7","38706"
"b. avance 10-40%","20","89.708","6.771721568999998E7","38706"
"b. avance 10-40%","21","89.981","6.771721568999998E7","38706"
"b. avance 10-40%","22","90.287","6.771721568999998E7","38706"
