"avance_band","dia","pct_capital_asegurado_acum","saldo_entrada_total","entradas"
"a. avance <10%","1","26.177","3.647804331000001E7","15336"
"a. avance <10%","2","39.948","3.647804331000001E7","15336"
"a. avance <10%","3","49.726","3.647804331000001E7","15336"
"a. avance <10%","4","55.016","3.647804331000001E7","15336"
"a. avance <10%","5","58.731","3.647804331000001E7","15336"
"a. avance <10%","6","61.883","3.647804331000001E7","15336"
"a. avance <10%","7","64.164","3.647804331000001E7","15336"
"a. avance <10%","8","66.966","3.647804331000001E7","15336"
"a. avance <10%","9","68.81","3.647804331000001E7","15336"
"a. avance <10%","10","70.405","3.647804331000001E7","15336"
"a. avance <10%","11","71.7","3.647804331000001E7","15336"
"a. avance <10%","12","72.88","3.647804331000001E7","15336"
"a. avance <10%","13","73.984","3.647804331000001E7","15336"
"a. avance <10%","14","74.898","3.647804331000001E7","15336"
"a. avance <10%","15","75.784","3.647804331000001E7","15336"
"a. avance <10%","16","76.548","3.647804331000001E7","15336"
"a. avance <10%","17","77.013","3.647804331000001E7","15336"
"a. avance <10%","18","77.467","3.647804331000001E7","15336"
"a. avance <10%","19","78.051","3.647804331000001E7","15336"
"a. avance <10%","20","78.532","3.647804331000001E7","15336"
"a. avance <10%","21","78.836","3.647804331000001E7","15336"
"a. avance <10%","22","79.081","3.647804331000001E7","15336"
"a. avance <10%","23","79.363","3.647804331000001E7","15336"
"a. avance <10%","24","79.754","3.647804331000001E7","15336"
"a. avance <10%","25","80.131","3.647804331000001E7","15336"
"a. avance <10%","26","80.369","3.647804331000001E7","15336"
"a. avance <10%","27","80.695","3.647804331000001E7","15336"
"a. avance <10%","28","81.024","3.647804331000001E7","15336"
"a. avance <10%","29","81.589","3.647804331000001E7","15336"
"a. avance <10%","30","82.032","3.647804331000001E7","15336"
"a. avance <10%","31","82.256","3.647804331000001E7","15336"
"b. avance 10-40%","1","24.518","3.8979715980000004E7","21234"
"b. avance 10-40%","2","38.41","3.8979715980000004E7","21234"
"b. avance 10-40%","3","49.435","3.8979715980000004E7","21234"
"b. avance 10-40%","4","55.731","3.8979715980000004E7","21234"
"b. avance 10-40%","5","60.112","3.8979715980000004E7","21234"
"b. avance 10-40%","6","64.145","3.8979715980000004E7","21234"
"b. avance 10-40%","7","66.842","3.8979715980000004E7","21234"
"b. avance 10-40%","8","70.001","3.8979715980000004E7","21234"
"b. avance 10-40%","9","72.328","3.8979715980000004E7","21234"
"b. avance 10-40%","10","74.208","3.8979715980000004E7","21234"
"b. avance 10-40%","11","75.691","3.8979715980000004E7","21234"
"b. avance 10-40%","12","76.941","3.8979715980000004E7","21234"
"b. avance 10-40%","13","78.17","3.8979715980000004E7","21234"
"b. avance 10-40%","14","79.384","3.8979715980000004E7","21234"
"b. avance 10-40%","15","80.653","3.8979715980000004E7","21234"
"b. avance 10-40%","16","81.456","3.8979715980000004E7","21234"
"b. avance 10-40%","17","82.097","3.8979715980000004E7","21234"
"b. avance 10-40%","18","82.743","3.8979715980000004E7","21234"
"b. avance 10-40%","19","83.242","3.8979715980000004E7","21234"
"b. avance 10-40%","20","83.783","3.8979715980000004E7","21234"
"b. avance 10-40%","21","84.191","3.8979715980000004E7","21234"
"b. avance 10-40%","22","84.705","3.8979715980000004E7","21234"
"b. avance 10-40%","23","85.148","3.8979715980000004E7","21234"
"b. avance 10-40%","24","85.731","3.8979715980000004E7","21234"
"b. avance 10-40%","25","86.298","3.8979715980000004E7","21234"
"b. avance 10-40%","26","86.655","3.8979715980000004E7","21234"
"b. avance 10-40%","27","87.175","3.8979715980000004E7","21234"
"b. avance 10-40%","28","87.735","3.8979715980000004E7","21234"
"b. avance 10-40%","29","88.271","3.8979715980000004E7","21234"
"b. avance 10-40%","30","88.644","3.8979715980000004E7","21234"
"b. avance 10-40%","31","88.887","3.8979715980000004E7","21234"
"c. avance 40-70%","1","24.796","1.4269672779999994E7","17124"
"c. avance 40-70%","2","39.21","1.4269672779999994E7","17124"
"c. avance 40-70%","3","50.895","1.4269672779999994E7","17124"
"c. avance 40-70%","4","57.238","1.4269672779999994E7","17124"
"c. avance 40-70%","5","61.981","1.4269672779999994E7","17124"
"c. avance 40-70%","6","66.412","1.4269672779999994E7","17124"
"c. avance 40-70%","7","69.706","1.4269672779999994E7","17124"
"c. avance 40-70%","8","73.338","1.4269672779999994E7","17124"
"c. avance 40-70%","9","75.655","1.4269672779999994E7","17124"
"c. avance 40-70%","10","77.701","1.4269672779999994E7","17124"
"c. avance 40-70%","11","79.182","1.4269672779999994E7","17124"
"c. avance 40-70%","12","80.643","1.4269672779999994E7","17124"
"c. avance 40-70%","13","81.931","1.4269672779999994E7","17124"
"c. avance 40-70%","14","83.121","1.4269672779999994E7","17124"
"c. avance 40-70%","15","84.057","1.4269672779999994E7","17124"
"c. avance 40-70%","16","84.908","1.4269672779999994E7","17124"
"c. avance 40-70%","17","85.678","1.4269672779999994E7","17124"
"c. avance 40-70%","18","86.343","1.4269672779999994E7","17124"
"c. avance 40-70%","19","86.877","1.4269672779999994E7","17124"
"c. avance 40-70%","20","87.374","1.4269672779999994E7","17124"
"c. avance 40-70%","21","87.825","1.4269672779999994E7","17124"
"c. avance 40-70%","22","88.321","1.4269672779999994E7","17124"
"c. avance 40-70%","23","88.708","1.4269672779999994E7","17124"
"c. avance 40-70%","24","89.33","1.4269672779999994E7","17124"
"c. avance 40-70%","25","89.787","1.4269672779999994E7","17124"
"c. avance 40-70%","26","90.109","1.4269672779999994E7","17124"
"c. avance 40-70%","27","90.557","1.4269672779999994E7","17124"
"c. avance 40-70%","28","90.95","1.4269672779999994E7","17124"
"c. avance 40-70%","29","91.488","1.4269672779999994E7","17124"
"c. avance 40-70%","30","91.817","1.4269672779999994E7","17124"
"c. avance 40-70%","31","91.997","1.4269672779999994E7","17124"
"d. avance 70%+","1","23.202","2347610.1900000004","5933"
