"tramo","avance_band","dia","pct_capital_asegurado_acum","saldo_total","creditos_total"
"a. 1-8","a. avance <10%","1","11.976","7931031.139999999","2923"
"a. 1-8","a. avance <10%","2","27.387","7931031.139999999","2923"
"a. 1-8","a. avance <10%","3","35.202","7931031.139999999","2923"
"a. 1-8","a. avance <10%","4","40.249","7931031.139999999","2923"
"a. 1-8","a. avance <10%","5","44.662","7931031.139999999","2923"
"a. 1-8","a. avance <10%","6","47.194","7931031.139999999","2923"
"a. 1-8","a. avance <10%","7","49.846","7931031.139999999","2923"
"a. 1-8","a. avance <10%","8","51.897","7931031.139999999","2923"
"a. 1-8","a. avance <10%","9","54.071","7931031.139999999","2923"
"a. 1-8","a. avance <10%","10","55.542","7931031.139999999","2923"
"a. 1-8","a. avance <10%","11","57.269","7931031.139999999","2923"
"a. 1-8","a. avance <10%","12","58.631","7931031.139999999","2923"
"a. 1-8","a. avance <10%","13","60.023","7931031.139999999","2923"
"a. 1-8","a. avance <10%","14","61.099","7931031.139999999","2923"
"a. 1-8","a. avance <10%","15","62.561","7931031.139999999","2923"
"a. 1-8","a. avance <10%","16","63.895","7931031.139999999","2923"
"a. 1-8","a. avance <10%","17","64.697","7931031.139999999","2923"
"a. 1-8","a. avance <10%","18","65.273","7931031.139999999","2923"
"a. 1-8","a. avance <10%","19","65.767","7931031.139999999","2923"
"a. 1-8","a. avance <10%","20","66.68","7931031.139999999","2923"
"a. 1-8","a. avance <10%","21","67.131","7931031.139999999","2923"
"a. 1-8","a. avance <10%","22","67.473","7931031.139999999","2923"
"a. 1-8","a. avance <10%","23","68.208","7931031.139999999","2923"
"a. 1-8","a. avance <10%","24","68.567","7931031.139999999","2923"
"a. 1-8","a. avance <10%","25","69.223","7931031.139999999","2923"
"a. 1-8","a. avance <10%","26","69.796","7931031.139999999","2923"
"a. 1-8","a. avance <10%","27","70.293","7931031.139999999","2923"
"a. 1-8","a. avance <10%","28","70.588","7931031.139999999","2923"
"a. 1-8","a. avance <10%","29","71.376","7931031.139999999","2923"
"a. 1-8","a. avance <10%","30","72.2","7931031.139999999","2923"
"a. 1-8","a. avance <10%","31","72.378","7931031.139999999","2923"
"a. 1-8","b. avance 10-40%","1","13.914","8915397.319999998","4416"
"a. 1-8","b. avance 10-40%","2","30.969","8915397.319999998","4416"
"a. 1-8","b. avance 10-40%","3","40.721","8915397.319999998","4416"
"a. 1-8","b. avance 10-40%","4","46.409","8915397.319999998","4416"
"a. 1-8","b. avance 10-40%","5","51.406","8915397.319999998","4416"
"a. 1-8","b. avance 10-40%","6","54.568","8915397.319999998","4416"
"a. 1-8","b. avance 10-40%","7","56.581","8915397.319999998","4416"
"a. 1-8","b. avance 10-40%","8","59.085","8915397.319999998","4416"
"a. 1-8","b. avance 10-40%","9","61.316","8915397.319999998","4416"
"a. 1-8","b. avance 10-40%","10","62.935","8915397.319999998","4416"
"a. 1-8","b. avance 10-40%","11","64.476","8915397.319999998","4416"
"a. 1-8","b. avance 10-40%","12","66.152","8915397.319999998","4416"
"a. 1-8","b. avance 10-40%","13","67.542","8915397.319999998","4416"
"a. 1-8","b. avance 10-40%","14","69.102","8915397.319999998","4416"
"a. 1-8","b. avance 10-40%","15","70.174","8915397.319999998","4416"
"a. 1-8","b. avance 10-40%","16","71.291","8915397.319999998","4416"
"a. 1-8","b. avance 10-40%","17","72.274","8915397.319999998","4416"
"a. 1-8","b. avance 10-40%","18","73.084","8915397.319999998","4416"
"a. 1-8","b. avance 10-40%","19","74.192","8915397.319999998","4416"
"a. 1-8","b. avance 10-40%","20","75.52","8915397.319999998","4416"
"a. 1-8","b. avance 10-40%","21","76.526","8915397.319999998","4416"
"a. 1-8","b. avance 10-40%","22","77.684","8915397.319999998","4416"
"a. 1-8","b. avance 10-40%","23","78.157","8915397.319999998","4416"
"a. 1-8","b. avance 10-40%","24","78.715","8915397.319999998","4416"
"a. 1-8","b. avance 10-40%","25","79.323","8915397.319999998","4416"
"a. 1-8","b. avance 10-40%","26","79.796","8915397.319999998","4416"
"a. 1-8","b. avance 10-40%","27","80.31","8915397.319999998","4416"
"a. 1-8","b. avance 10-40%","28","81.232","8915397.319999998","4416"
"a. 1-8","b. avance 10-40%","29","82.077","8915397.319999998","4416"
"a. 1-8","b. avance 10-40%","30","82.876","8915397.319999998","4416"
"a. 1-8","b. avance 10-40%","31","83.16","8915397.319999998","4416"
"a. 1-8","c. avance 40-70%","1","14.774","3148834.1899999995","3412"
"a. 1-8","c. avance 40-70%","2","32.944","3148834.1899999995","3412"
"a. 1-8","c. avance 40-70%","3","42.982","3148834.1899999995","3412"
"a. 1-8","c. avance 40-70%","4","48.111","3148834.1899999995","3412"
"a. 1-8","c. avance 40-70%","5","53.826","3148834.1899999995","3412"
"a. 1-8","c. avance 40-70%","6","58.013","3148834.1899999995","3412"
"a. 1-8","c. avance 40-70%","7","60.776","3148834.1899999995","3412"
"a. 1-8","c. avance 40-70%","8","62.902","3148834.1899999995","3412"
"a. 1-8","c. avance 40-70%","9","65.652","3148834.1899999995","3412"
"a. 1-8","c. avance 40-70%","10","67.562","3148834.1899999995","3412"
"a. 1-8","c. avance 40-70%","11","69.393","3148834.1899999995","3412"
"a. 1-8","c. avance 40-70%","12","70.88","3148834.1899999995","3412"
"a. 1-8","c. avance 40-70%","13","71.906","3148834.1899999995","3412"
"a. 1-8","c. avance 40-70%","14","73.056","3148834.1899999995","3412"
"a. 1-8","c. avance 40-70%","15","73.945","3148834.1899999995","3412"
"a. 1-8","c. avance 40-70%","16","74.651","3148834.1899999995","3412"
"a. 1-8","c. avance 40-70%","17","75.546","3148834.1899999995","3412"
"a. 1-8","c. avance 40-70%","18","76.18","3148834.1899999995","3412"
"a. 1-8","c. avance 40-70%","19","76.947","3148834.1899999995","3412"
"a. 1-8","c. avance 40-70%","20","78.644","3148834.1899999995","3412"
"a. 1-8","c. avance 40-70%","21","79.153","3148834.1899999995","3412"
"a. 1-8","c. avance 40-70%","22","79.798","3148834.1899999995","3412"
"a. 1-8","c. avance 40-70%","23","80.762","3148834.1899999995","3412"
"a. 1-8","c. avance 40-70%","24","81.778","3148834.1899999995","3412"
"a. 1-8","c. avance 40-70%","25","82.432","3148834.1899999995","3412"
"a. 1-8","c. avance 40-70%","26","82.949","3148834.1899999995","3412"
"a. 1-8","c. avance 40-70%","27","83.874","3148834.1899999995","3412"
"a. 1-8","c. avance 40-70%","28","84.519","3148834.1899999995","3412"
"a. 1-8","c. avance 40-70%","29","85.659","3148834.1899999995","3412"
"a. 1-8","c. avance 40-70%","30","86.121","3148834.1899999995","3412"
