fechavencimiento,avance_band,creditos,saldo_en_riesgo
2026-08-01,a. avance <10%,354,1276347.64
2026-08-01,b. avance 10-40%,936,1605156.75
2026-08-01,c. avance 40-70%,563,488824.64
2026-08-01,d. avance 70%+,171,82100.35
2026-08-03,a. avance <10%,546,1713507.49
2026-08-03,b. avance 10-40%,1302,2400731.33
2026-08-03,c. avance 40-70%,847,724453.67
2026-08-03,d. avance 70%+,221,93736.67
2026-08-04,a. avance <10%,287,874170.07
2026-08-04,b. avance 10-40%,714,1254420.97
2026-08-04,c. avance 40-70%,454,378430.17
2026-08-04,d. avance 70%+,107,45846.18
2026-08-05,a. avance <10%,384,1352232.45
2026-08-05,b. avance 10-40%,966,1829544.94
2026-08-05,c. avance 40-70%,512,558922.56
2026-08-05,d. avance 70%+,175,85178.37
2026-08-07,a. avance <10%,405,1206759.46
2026-08-07,b. avance 10-40%,1260,2171787.79
2026-08-07,c. avance 40-70%,829,683094.76
2026-08-07,d. avance 70%+,262,101615.43
2026-08-08,a. avance <10%,220,664534.36
2026-08-08,b. avance 10-40%,597,1020344.04
2026-08-08,c. avance 40-70%,421,364413.57
2026-08-08,d. avance 70%+,155,61511.94
2026-08-10,a. avance <10%,461,1327840.55
2026-08-10,b. avance 10-40%,1204,2080945.98
2026-08-10,c. avance 40-70%,857,711526.69
2026-08-10,d. avance 70%+,233,86417.29
2026-08-11,a. avance <10%,232,582298.98
2026-08-11,b. avance 10-40%,587,955541.13
2026-08-11,c. avance 40-70%,395,297607.07
2026-08-11,d. avance 70%+,100,44951.35
2026-08-12,a. avance <10%,250,611487.06
2026-08-12,b. avance 10-40%,567,826353.2
2026-08-12,c. avance 40-70%,357,265018.31
2026-08-12,d. avance 70%+,102,41586.39
2026-08-13,a. avance <10%,239,591951.09
2026-08-13,b. avance 10-40%,574,1008795.32
2026-08-13,c. avance 40-70%,390,303073.8
2026-08-13,d. avance 70%+,97,36246.89
2026-08-14,a. avance <10%,198,474044.17
2026-08-14,b. avance 10-40%,522,837866.38
2026-08-14,c. avance 40-70%,373,305650.71
2026-08-14,d. avance 70%+,122,52622.42
2026-08-15,a. avance <10%,560,1960384.99
2026-08-15,b. avance 10-40%,1155,2217246.69
2026-08-15,c. avance 40-70%,785,776200.15
2026-08-15,d. avance 70%+,281,117966.03
2026-08-17,a. avance <10%,513,1479487.11
2026-08-17,b. avance 10-40%,1190,2075495.87
2026-08-17,c. avance 40-70%,881,677474.34
2026-08-17,d. avance 70%+,320,111954.29
2026-08-18,a. avance <10%,355,830514.68
2026-08-18,b. avance 10-40%,617,988123.54
2026-08-18,c. avance 40-70%,412,311067.21
2026-08-18,d. avance 70%+,149,46471.89
2026-08-19,a. avance <10%,334,742517.05
2026-08-19,b. avance 10-40%,544,816053.86
2026-08-19,c. avance 40-70%,364,280283.92
2026-08-19,d. avance 70%+,131,49634.18
2026-08-20,a. avance <10%,473,1069818.33
2026-08-20,b. avance 10-40%,715,1196998.55
2026-08-20,c. avance 40-70%,466,371132.22
2026-08-20,d. avance 70%+,160,70338.73
2026-08-21,a. avance <10%,357,791710.17
2026-08-21,b. avance 10-40%,602,1033429.26
2026-08-21,c. avance 40-70%,415,340072.64
2026-08-21,d. avance 70%+,135,51893.3
2026-08-22,a. avance <10%,388,820339.74
2026-08-22,b. avance 10-40%,528,883250.63
2026-08-22,c. avance 40-70%,398,319373.3
2026-08-22,d. avance 70%+,136,54445.48
2026-08-24,a. avance <10%,892,1811849.88
2026-08-24,b. avance 10-40%,1088,1780850.14
2026-08-24,c. avance 40-70%,845,704232.01
2026-08-24,d. avance 70%+,253,96512.68
2026-08-25,a. avance <10%,941,2671764.41
2026-08-25,b. avance 10-40%,1061,2150422.86
2026-08-25,c. avance 40-70%,672,648218.3
2026-08-25,d. avance 70%+,201,93480.96
2026-08-26,a. avance <10%,452,1036930.41
2026-08-26,b. avance 10-40%,511,926469.61
2026-08-26,c. avance 40-70%,433,347633.87
2026-08-26,d. avance 70%+,137,50375.09
2026-08-27,a. avance <10%,562,1214665.27
2026-08-27,b. avance 10-40%,543,938508.36
2026-08-27,c. avance 40-70%,398,327574.73
2026-08-27,d. avance 70%+,133,47237.68
2026-08-28,a. avance <10%,448,1069080.61
2026-08-28,b. avance 10-40%,594,1039919.22
2026-08-28,c. avance 40-70%,564,462818.02
2026-08-28,d. avance 70%+,143,45811.71
2026-08-29,a. avance <10%,434,893205.19
2026-08-29,b. avance 10-40%,421,670596.96
2026-08-29,c. avance 40-70%,277,197456.83
2026-08-29,d. avance 70%+,89,39137.35
2026-08-31,a. avance <10%,1583,5206329.57
2026-08-31,b. avance 10-40%,1591,3233919.71
2026-08-31,c. avance 40-70%,851,806750.15
2026-08-31,d. avance 70%+,328,144595.94
