"fechavencimiento","avance_band","creditos","saldo_en_riesgo"
"2026-07-10","a. avance <10%","330","717590.0"
"2026-07-10","b. avance 10-40%","354","572821.0"
"2026-07-10","c. avance 40-70%","223","175717.0"
"2026-07-10","d. avance 70%+","69","26645.0"
"2026-07-11","a. avance <10%","281","631928.0"
"2026-07-11","b. avance 10-40%","388","636676.0"
"2026-07-11","c. avance 40-70%","250","206445.0"
"2026-07-11","d. avance 70%+","83","30646.0"
"2026-07-13","a. avance <10%","710","1476454.0"
"2026-07-13","b. avance 10-40%","785","1271354.0"
"2026-07-13","c. avance 40-70%","501","387838.0"
"2026-07-13","d. avance 70%+","166","67503.0"
"2026-07-14","a. avance <10%","380","804854.0"
"2026-07-14","b. avance 10-40%","394","628087.0"
"2026-07-14","c. avance 40-70%","321","263279.0"
"2026-07-14","d. avance 70%+","84","31233.0"
"2026-07-15","a. avance <10%","840","2404592.0"
"2026-07-15","b. avance 10-40%","1003","1873828.0"
"2026-07-15","c. avance 40-70%","646","620650.0"
"2026-07-15","d. avance 70%+","177","75556.0"
"2026-07-16","a. avance <10%","431","1010619.0"
"2026-07-16","b. avance 10-40%","519","841736.0"
"2026-07-16","c. avance 40-70%","369","301981.0"
"2026-07-16","d. avance 70%+","97","38087.0"
"2026-07-17","a. avance <10%","413","922247.0"
"2026-07-17","b. avance 10-40%","530","831413.0"
"2026-07-17","c. avance 40-70%","380","286482.0"
"2026-07-17","d. avance 70%+","98","31137.0"
"2026-07-18","a. avance <10%","388","914255.0"
"2026-07-18","b. avance 10-40%","505","781532.0"
"2026-07-18","c. avance 40-70%","370","281499.0"
"2026-07-18","d. avance 70%+","105","39123.0"
"2026-07-20","a. avance <10%","944","2012468.0"
"2026-07-20","b. avance 10-40%","1112","1785149.0"
"2026-07-20","c. avance 40-70%","772","644986.0"
"2026-07-20","d. avance 70%+","236","94165.0"
"2026-07-21","a. avance <10%","376","795015.0"
"2026-07-21","b. avance 10-40%","563","941572.0"
"2026-07-21","c. avance 40-70%","413","344454.0"
"2026-07-21","d. avance 70%+","97","34851.0"
"2026-07-22","a. avance <10%","390","858058.0"
"2026-07-22","b. avance 10-40%","572","890961.0"
"2026-07-22","c. avance 40-70%","380","303198.0"
"2026-07-22","d. avance 70%+","88","39182.0"
"2026-07-24","a. avance <10%","785","1801498.0"
"2026-07-24","b. avance 10-40%","1150","1752266.0"
"2026-07-24","c. avance 40-70%","818","678158.0"
"2026-07-24","d. avance 70%+","217","87050.0"
"2026-07-25","a. avance <10%","839","2469484.0"
"2026-07-25","b. avance 10-40%","1021","1959974.0"
"2026-07-25","c. avance 40-70%","623","618029.0"
"2026-07-25","d. avance 70%+","212","98944.0"
"2026-07-27","a. avance <10%","863","2011677.0"
"2026-07-27","b. avance 10-40%","1057","1806430.0"
"2026-07-27","c. avance 40-70%","864","694979.0"
"2026-07-27","d. avance 70%+","250","94297.0"
"2026-07-30","a. avance <10%","2524","6984961.0"
"2026-07-30","b. avance 10-40%","2597","4707124.0"
"2026-07-30","c. avance 40-70%","1855","1712352.0"
"2026-07-30","d. avance 70%+","573","254554.0"
"2026-07-31","a. avance <10%","10","52928.0"
"2026-07-31","b. avance 10-40%","24","63150.0"
"2026-07-31","c. avance 40-70%","32","30804.0"
"2026-07-31","d. avance 70%+","9","4290.0"
