"tramo","avance_band","creditos","saldo_total"
"a. 1-8","a. avance <10%","311","820717.0"
"a. 1-8","b. avance 10-40%","491","927006.0"
"a. 1-8","c. avance 40-70%","330","318745.0"
"a. 1-8","d. avance 70%+","105","46095.0"
"b. 9-15","a. avance <10%","147","445545.0"
"b. 9-15","b. avance 10-40%","235","503694.0"
"b. 9-15","c. avance 40-70%","151","179730.0"
"b. 9-15","d. avance 70%+","72","31820.0"
"c. 16-30","a. avance <10%","154","407839.0"
"c. 16-30","b. avance 10-40%","187","345674.0"
"c. 16-30","c. avance 40-70%","143","140735.0"
"c. 16-30","d. avance 70%+","54","24963.0"
