"avance_band","dia_desde_entrada","pct_recupero_acum"
"a. avance <10%","1","3.13"
"a. avance <10%","2","4.784"
"a. avance <10%","3","5.952"
"a. avance <10%","4","6.684"
"a. avance <10%","5","7.122"
"a. avance <10%","6","7.564"
"a. avance <10%","7","7.798"
"a. avance <10%","8","8.063"
"a. avance <10%","9","8.266"
"a. avance <10%","10","8.45"
"a. avance <10%","11","8.65"
"a. avance <10%","12","8.787"
"a. avance <10%","13","8.89"
"a. avance <10%","14","9.028"
"a. avance <10%","15","9.162"
"a. avance <10%","16","9.297"
"a. avance <10%","17","9.413"
"a. avance <10%","18","9.503"
"a. avance <10%","19","9.615"
"a. avance <10%","20","9.726"
"a. avance <10%","21","9.801"
"a. avance <10%","22","9.887"
"a. avance <10%","23","10.018"
"a. avance <10%","24","10.237"
"a. avance <10%","25","10.41"
"a. avance <10%","26","10.634"
"a. avance <10%","27","11.042"
"a. avance <10%","28","11.473"
"a. avance <10%","29","12.282"
"a. avance <10%","30","13.369"
"a. avance <10%","31","14.362"
"b. avance 10-40%","1","3.644"
"b. avance 10-40%","2","5.697"
"b. avance 10-40%","3","7.433"
"b. avance 10-40%","4","8.416"
"b. avance 10-40%","5","9.044"
"b. avance 10-40%","6","9.649"
"b. avance 10-40%","7","10.067"
"b. avance 10-40%","8","10.591"
"b. avance 10-40%","9","10.966"
"b. avance 10-40%","10","11.289"
"b. avance 10-40%","11","11.525"
"b. avance 10-40%","12","11.715"
"b. avance 10-40%","13","11.929"
"b. avance 10-40%","14","12.111"
"b. avance 10-40%","15","12.326"
"b. avance 10-40%","16","12.486"
"b. avance 10-40%","17","12.669"
"b. avance 10-40%","18","12.82"
"b. avance 10-40%","19","12.937"
"b. avance 10-40%","20","13.108"
"b. avance 10-40%","21","13.221"
"b. avance 10-40%","22","13.378"
"b. avance 10-40%","23","13.55"
"b. avance 10-40%","24","13.794"
"b. avance 10-40%","25","14.081"
"b. avance 10-40%","26","14.39"
"b. avance 10-40%","27","14.956"
"b. avance 10-40%","28","15.631"
"b. avance 10-40%","29","16.818"
"b. avance 10-40%","30","18.32"
"b. avance 10-40%","31","19.8"
"c. avance 40-70%","1","8.704"
"c. avance 40-70%","2","13.658"
"c. avance 40-70%","3","17.667"
"c. avance 40-70%","4","19.752"
"c. avance 40-70%","5","21.315"
"c. avance 40-70%","6","22.688"
"c. avance 40-70%","7","23.734"
"c. avance 40-70%","8","24.993"
"c. avance 40-70%","9","25.769"
"c. avance 40-70%","10","26.475"
"c. avance 40-70%","11","27.014"
"c. avance 40-70%","12","27.499"
"c. avance 40-70%","13","27.918"
"c. avance 40-70%","14","28.326"
"c. avance 40-70%","15","28.737"
"c. avance 40-70%","16","29.029"
"c. avance 40-70%","17","29.283"
"c. avance 40-70%","18","29.625"
"c. avance 40-70%","19","29.89"
"c. avance 40-70%","20","30.186"
"c. avance 40-70%","21","30.466"
"c. avance 40-70%","22","30.712"
"c. avance 40-70%","23","31.014"
"c. avance 40-70%","24","31.434"
"c. avance 40-70%","25","31.832"
"c. avance 40-70%","26","32.351"
"c. avance 40-70%","27","33.206"
"c. avance 40-70%","28","34.184"
"c. avance 40-70%","29","35.895"
"c. avance 40-70%","30","38.365"
"c. avance 40-70%","31","40.876"
"d. avance 70%+","1","16.07"
"d. avance 70%+","2","26.155"
"d. avance 70%+","3","34.371"
"d. avance 70%+","4","38.864"
"d. avance 70%+","5","42.171"
"d. avance 70%+","6","45.429"
"d. avance 70%+","7","47.383"
"d. avance 70%+","8","49.727"
"d. avance 70%+","9","51.795"
"d. avance 70%+","10","53.339"
"d. avance 70%+","11","54.408"
"d. avance 70%+","12","55.286"
"d. avance 70%+","13","56.424"
"d. avance 70%+","14","57.503"
"d. avance 70%+","15","58.222"
"d. avance 70%+","16","59.149"
"d. avance 70%+","17","59.818"
"d. avance 70%+","18","60.302"
"d. avance 70%+","19","60.931"
"d. avance 70%+","20","61.408"
"d. avance 70%+","21","61.788"
"d. avance 70%+","22","62.32"
"d. avance 70%+","23","62.9"
"d. avance 70%+","24","63.548"
"d. avance 70%+","25","64.001"
"d. avance 70%+","26","64.69"
"d. avance 70%+","27","65.975"
"d. avance 70%+","28","66.99"
"d. avance 70%+","29","68.933"
"d. avance 70%+","30","71.572"
"d. avance 70%+","31","74.189"
