"tramo","avance_band","dia","pct_recupero_acum"
"a. 1-8","a. avance <10%","1","1.518"
"a. 1-8","a. avance <10%","2","2.662"
"a. 1-8","a. avance <10%","3","3.428"
"a. 1-8","a. avance <10%","4","4.035"
"a. 1-8","a. avance <10%","5","4.412"
"a. 1-8","a. avance <10%","6","4.649"
"a. 1-8","a. avance <10%","7","4.999"
"a. 1-8","a. avance <10%","8","5.225"
"a. 1-8","a. avance <10%","9","5.432"
"a. 1-8","a. avance <10%","10","5.581"
"a. 1-8","a. avance <10%","11","5.826"
"a. 1-8","a. avance <10%","12","6.0"
"a. 1-8","a. avance <10%","13","6.084"
"a. 1-8","a. avance <10%","14","6.203"
"a. 1-8","a. avance <10%","15","6.352"
"a. 1-8","a. avance <10%","16","6.533"
"a. 1-8","a. avance <10%","17","6.616"
"a. 1-8","a. avance <10%","18","6.765"
"a. 1-8","a. avance <10%","19","6.857"
"a. 1-8","a. avance <10%","20","7.004"
"a. 1-8","a. avance <10%","21","7.087"
"a. 1-8","a. avance <10%","22","7.13"
"a. 1-8","a. avance <10%","23","7.262"
"a. 1-8","a. avance <10%","24","7.407"
"a. 1-8","a. avance <10%","25","7.554"
"a. 1-8","a. avance <10%","26","7.935"
"a. 1-8","a. avance <10%","27","8.472"
"a. 1-8","a. avance <10%","28","8.857"
"a. 1-8","a. avance <10%","29","9.455"
"a. 1-8","a. avance <10%","30","9.996"
"a. 1-8","a. avance <10%","31","10.251"
"a. 1-8","b. avance 10-40%","1","2.439"
"a. 1-8","b. avance 10-40%","2","4.335"
"a. 1-8","b. avance 10-40%","3","5.601"
"a. 1-8","b. avance 10-40%","4","6.25"
"a. 1-8","b. avance 10-40%","5","6.875"
"a. 1-8","b. avance 10-40%","6","7.312"
"a. 1-8","b. avance 10-40%","7","7.617"
"a. 1-8","b. avance 10-40%","8","7.965"
"a. 1-8","b. avance 10-40%","9","8.29"
"a. 1-8","b. avance 10-40%","10","8.44"
"a. 1-8","b. avance 10-40%","11","8.693"
"a. 1-8","b. avance 10-40%","12","8.869"
"a. 1-8","b. avance 10-40%","13","9.273"
"a. 1-8","b. avance 10-40%","14","9.417"
"a. 1-8","b. avance 10-40%","15","9.627"
"a. 1-8","b. avance 10-40%","16","9.777"
"a. 1-8","b. avance 10-40%","17","9.978"
"a. 1-8","b. avance 10-40%","18","10.153"
"a. 1-8","b. avance 10-40%","19","10.4"
"a. 1-8","b. avance 10-40%","20","10.684"
"a. 1-8","b. avance 10-40%","21","10.94"
"a. 1-8","b. avance 10-40%","22","11.319"
"a. 1-8","b. avance 10-40%","23","11.595"
"a. 1-8","b. avance 10-40%","24","11.823"
"a. 1-8","b. avance 10-40%","25","12.219"
"a. 1-8","b. avance 10-40%","26","12.654"
"a. 1-8","b. avance 10-40%","27","13.233"
"a. 1-8","b. avance 10-40%","28","13.977"
"a. 1-8","b. avance 10-40%","29","14.66"
"a. 1-8","b. avance 10-40%","30","15.487"
"a. 1-8","b. avance 10-40%","31","15.919"
"a. 1-8","c. avance 40-70%","1","6.053"
"a. 1-8","c. avance 40-70%","2","10.762"
"a. 1-8","c. avance 40-70%","3","13.459"
"a. 1-8","c. avance 40-70%","4","15.219"
"a. 1-8","c. avance 40-70%","5","16.893"
"a. 1-8","c. avance 40-70%","6","18.306"
"a. 1-8","c. avance 40-70%","7","19.218"
"a. 1-8","c. avance 40-70%","8","20.248"
"a. 1-8","c. avance 40-70%","9","20.955"
"a. 1-8","c. avance 40-70%","10","21.48"
"a. 1-8","c. avance 40-70%","11","22.034"
"a. 1-8","c. avance 40-70%","12","22.418"
"a. 1-8","c. avance 40-70%","13","22.726"
"a. 1-8","c. avance 40-70%","14","23.1"
"a. 1-8","c. avance 40-70%","15","23.582"
"a. 1-8","c. avance 40-70%","16","23.888"
"a. 1-8","c. avance 40-70%","17","24.165"
