"fechavencimiento","avance_band","creditos","saldo_en_riesgo"
"2026-07-01","a. avance <10%","508","1488908.0"
"2026-07-01","b. avance 10-40%","1051","1705999.0"
"2026-07-01","c. avance 40-70%","575","453551.0"
"2026-07-01","d. avance 70%+","484","104487.0"
"2026-07-02","a. avance <10%","277","832370.0"
"2026-07-02","b. avance 10-40%","814","1510639.0"
"2026-07-02","c. avance 40-70%","496","401889.0"
"2026-07-02","d. avance 70%+","391","75073.0"
"2026-07-03","a. avance <10%","235","675678.0"
"2026-07-03","b. avance 10-40%","570","975735.0"
"2026-07-03","c. avance 40-70%","416","328790.0"
"2026-07-03","d. avance 70%+","258","47086.0"
"2026-07-04","a. avance <10%","263","863261.0"
"2026-07-04","b. avance 10-40%","725","1230547.0"
"2026-07-04","c. avance 40-70%","438","352124.0"
"2026-07-04","d. avance 70%+","351","47532.0"
"2026-07-06","a. avance <10%","599","1887565.0"
"2026-07-06","b. avance 10-40%","1612","2958027.0"
"2026-07-06","c. avance 40-70%","1005","913123.0"
"2026-07-06","d. avance 70%+","862","135991.0"
"2026-07-07","a. avance <10%","231","577410.0"
"2026-07-07","b. avance 10-40%","652","1147285.0"
"2026-07-07","c. avance 40-70%","437","330612.0"
"2026-07-07","d. avance 70%+","308","53950.0"
"2026-07-08","a. avance <10%","233","605004.0"
"2026-07-08","b. avance 10-40%","653","1060223.0"
"2026-07-08","c. avance 40-70%","472","370036.0"
"2026-07-08","d. avance 70%+","305","50769.0"
"2026-07-09","a. avance <10%","306","710704.0"
"2026-07-09","b. avance 10-40%","732","1131285.0"
"2026-07-09","c. avance 40-70%","454","305427.0"
"2026-07-09","d. avance 70%+","247","41103.0"
"2026-07-10","a. avance <10%","347","744530.0"
"2026-07-10","b. avance 10-40%","380","624308.0"
"2026-07-10","c. avance 40-70%","232","185317.0"
"2026-07-10","d. avance 70%+","74","27599.0"
"2026-07-11","a. avance <10%","291","655352.0"
"2026-07-11","b. avance 10-40%","397","650126.0"
"2026-07-11","c. avance 40-70%","260","210495.0"
"2026-07-11","d. avance 70%+","80","31352.0"
"2026-07-13","a. avance <10%","720","1491861.0"
"2026-07-13","b. avance 10-40%","789","1274588.0"
"2026-07-13","c. avance 40-70%","502","385510.0"
"2026-07-13","d. avance 70%+","170","68209.0"
"2026-07-14","a. avance <10%","381","806771.0"
"2026-07-14","b. avance 10-40%","393","620933.0"
"2026-07-14","c. avance 40-70%","323","264868.0"
"2026-07-14","d. avance 70%+","82","30509.0"
"2026-07-15","a. avance <10%","842","2410647.0"
"2026-07-15","b. avance 10-40%","1004","1872466.0"
"2026-07-15","c. avance 40-70%","644","619762.0"
"2026-07-15","d. avance 70%+","174","74199.0"
"2026-07-16","a. avance <10%","433","1010046.0"
"2026-07-16","b. avance 10-40%","521","829172.0"
"2026-07-16","c. avance 40-70%","365","299567.0"
"2026-07-16","d. avance 70%+","98","36083.0"
"2026-07-17","a. avance <10%","414","921322.0"
"2026-07-17","b. avance 10-40%","522","810865.0"
"2026-07-17","c. avance 40-70%","381","286931.0"
"2026-07-17","d. avance 70%+","99","31353.0"
"2026-07-18","a. avance <10%","388","916860.0"
"2026-07-18","b. avance 10-40%","499","766514.0"
"2026-07-18","c. avance 40-70%","369","278826.0"
"2026-07-18","d. avance 70%+","104","38863.0"
"2026-07-20","a. avance <10%","944","2010928.0"
"2026-07-20","b. avance 10-40%","1097","1739795.0"
"2026-07-20","c. avance 40-70%","753","628196.0"
"2026-07-20","d. avance 70%+","231","91883.0"
"2026-07-21","a. avance <10%","374","791707.0"
"2026-07-21","b. avance 10-40%","557","914779.0"
"2026-07-21","c. avance 40-70%","401","333994.0"
"2026-07-21","d. avance 70%+","95","32595.0"
"2026-07-22","a. avance <10%","390","853436.0"
"2026-07-22","b. avance 10-40%","565","874176.0"
"2026-07-22","c. avance 40-70%","372","295228.0"
"2026-07-22","d. avance 70%+","85","37472.0"
"2026-07-24","a. avance <10%","788","1803990.0"
"2026-07-24","b. avance 10-40%","1117","1686458.0"
"2026-07-24","c. avance 40-70%","775","648048.0"
"2026-07-24","d. avance 70%+","200","76923.0"
"2026-07-25","a. avance <10%","831","2450908.0"
"2026-07-25","b. avance 10-40%","981","1885787.0"
"2026-07-25","c. avance 40-70%","595","590803.0"
"2026-07-25","d. avance 70%+","195","90897.0"
"2026-07-27","a. avance <10%","858","1989111.0"
"2026-07-27","b. avance 10-40%","1001","1733335.0"
"2026-07-27","c. avance 40-70%","814","648728.0"
"2026-07-27","d. avance 70%+","229","86761.0"
"2026-07-30","a. avance <10%","2614","7257818.0"
"2026-07-30","b. avance 10-40%","2745","5022982.0"
"2026-07-30","c. avance 40-70%","1930","1822899.0"
"2026-07-30","d. avance 70%+","590","264048.0"
"2026-07-31","a. avance <10%","9","50185.0"
"2026-07-31","b. avance 10-40%","23","61300.0"
"2026-07-31","c. avance 40-70%","33","31687.0"
"2026-07-31","d. avance 70%+","10","4764.0"
