avance_band,dia_desde_entrada,pct_recupero_acum,entradas
a. avance <10%,1,1.438,2854
a. avance <10%,2,2.17,2854
a. avance <10%,3,2.611,2854
a. avance <10%,4,3.023,2854
a. avance <10%,5,3.289,2854
a. avance <10%,6,3.428,2854
a. avance <10%,7,3.549,2854
a. avance <10%,8,3.651,2854
a. avance <10%,9,3.924,2854
a. avance <10%,10,3.992,2854
a. avance <10%,11,4.202,2854
a. avance <10%,12,4.261,2854
a. avance <10%,13,4.316,2854
a. avance <10%,14,4.406,2854
a. avance <10%,15,4.463,2854
a. avance <10%,16,4.508,2854
a. avance <10%,17,4.548,2854
a. avance <10%,18,4.644,2854
a. avance <10%,19,4.801,2854
a. avance <10%,20,4.883,2854
a. avance <10%,21,4.952,2854
a. avance <10%,22,5.158,2854
a. avance <10%,23,5.212,2854
a. avance <10%,24,5.368,2854
a. avance <10%,25,5.474,2854
a. avance <10%,26,5.651,2854
a. avance <10%,27,5.907,2854
a. avance <10%,28,6.418,2854
a. avance <10%,29,6.988,2854
a. avance <10%,30,7.73,2854
a. avance <10%,31,8.359,2854
b. avance 10-40%,1,2.919,16000
b. avance 10-40%,2,4.331,16000
b. avance 10-40%,3,5.46,16000
b. avance 10-40%,4,6.075,16000
b. avance 10-40%,5,6.407,16000
b. avance 10-40%,6,6.735,16000
b. avance 10-40%,7,6.999,16000
b. avance 10-40%,8,7.285,16000
b. avance 10-40%,9,7.455,16000
b. avance 10-40%,10,7.688,16000
b. avance 10-40%,11,7.874,16000
b. avance 10-40%,12,7.98,16000
b. avance 10-40%,13,8.128,16000
b. avance 10-40%,14,8.265,16000
b. avance 10-40%,15,8.415,16000
b. avance 10-40%,16,8.574,16000
b. avance 10-40%,17,8.749,16000
b. avance 10-40%,18,8.877,16000
b. avance 10-40%,19,8.969,16000
b. avance 10-40%,20,9.105,16000
b. avance 10-40%,21,9.212,16000
b. avance 10-40%,22,9.367,16000
b. avance 10-40%,23,9.577,16000
b. avance 10-40%,24,9.901,16000
b. avance 10-40%,25,10.219,16000
b. avance 10-40%,26,10.626,16000
b. avance 10-40%,27,11.54,16000
b. avance 10-40%,28,12.662,16000
b. avance 10-40%,29,14.346,16000
b. avance 10-40%,30,16.573,16000
b. avance 10-40%,31,18.218,16000
c. avance 40-70%,1,6.648,12612
c. avance 40-70%,2,9.736,12612
c. avance 40-70%,3,12.201,12612
c. avance 40-70%,4,13.191,12612
c. avance 40-70%,5,13.954,12612
c. avance 40-70%,6,14.504,12612
c. avance 40-70%,7,14.977,12612
c. avance 40-70%,8,15.586,12612
c. avance 40-70%,9,15.881,12612
c. avance 40-70%,10,16.294,12612
c. avance 40-70%,11,16.536,12612
c. avance 40-70%,12,16.714,12612
c. avance 40-70%,13,17.003,12612
c. avance 40-70%,14,17.204,12612
c. avance 40-70%,15,17.473,12612
c. avance 40-70%,16,17.676,12612
c. avance 40-70%,17,17.858,12612
c. avance 40-70%,18,18.183,12612
c. avance 40-70%,19,18.417,12612
c. avance 40-70%,20,18.719,12612
c. avance 40-70%,21,19.023,12612
c. avance 40-70%,22,19.28,12612
c. avance 40-70%,23,19.614,12612
c. avance 40-70%,24,20.083,12612
c. avance 40-70%,25,20.685,12612
c. avance 40-70%,26,21.618,12612
c. avance 40-70%,27,23.54,12612
c. avance 40-70%,28,25.956,12612
c. avance 40-70%,29,29.982,12612
c. avance 40-70%,30,35.112,12612
c. avance 40-70%,31,38.982,12612
d. avance 70%+,1,11.085,4003
d. avance 70%+,2,16.88,4003
d. avance 70%+,3,21.296,4003
d. avance 70%+,4,23.591,4003
d. avance 70%+,5,25.125,4003
d. avance 70%+,6,26.506,4003
d. avance 70%+,7,27.241,4003
d. avance 70%+,8,28.624,4003
d. avance 70%+,9,29.495,4003
d. avance 70%+,10,30.048,4003
d. avance 70%+,11,30.486,4003
d. avance 70%+,12,30.942,4003
d. avance 70%+,13,31.708,4003
d. avance 70%+,14,32.082,4003
d. avance 70%+,15,32.377,4003
d. avance 70%+,16,32.78,4003
d. avance 70%+,17,33.145,4003
d. avance 70%+,18,33.542,4003
d. avance 70%+,19,34.056,4003
d. avance 70%+,20,34.367,4003
d. avance 70%+,21,34.718,4003
d. avance 70%+,22,35.454,4003
d. avance 70%+,23,36.346,4003
d. avance 70%+,24,37.227,4003
d. avance 70%+,25,38.46,4003
d. avance 70%+,26,39.695,4003
d. avance 70%+,27,42.91,4003
d. avance 70%+,28,46.777,4003
d. avance 70%+,29,53.528,4003
d. avance 70%+,30,62.839,4003
d. avance 70%+,31,69.039,4003
