"id_loan","saldo","motivo"
"7b3e9ba3-a18f-45c3-ae26-2610f38d3034","3135.0","Grupo de control"
"704e4c3e-3d59-46f9-939e-9b00ca8a3ae5","1372.93","Doble producto en otra fase"
"07c9730c-f251-4805-a186-fa5cb5592e2b","905.37","Grupo de control"
"b3805090-e4ce-4741-a23d-425d69b40690","2034.98","Grupo de control"
"cd02750c-d5de-45ab-bcdd-8e7214a375cd","13491.29","Grupo de control"
"f1ea5916-25f4-47a1-b3ba-d283c69d1489","485.48","Sin asignar"
"feec40b2-eaf4-4e32-b96b-c344c65c5d51","662.45","Sin asignar"
"25ec3bb4-fc70-4901-b3a1-158fccedd4d8","154.64","Sin asignar"
"05d90626-1491-492d-a5a6-d9242703dd7f","215.41","Sin asignar"
"27166842-4775-4b25-b31c-171c3f9d80a3","1253.09","Grupo de control"
"5929f4fc-a912-413f-8ee0-e997ba311e61","2303.49","Grupo de control"
"80d79e50-fd8a-4748-b27a-615855d3d321","232.31","Sin asignar"
"9651f928-4b91-4ce8-9d86-d185d68b90ed","444.67","Sin asignar"
"f7579ec8-c5fe-4f11-b166-fb5ef1afa915","1129.36","Grupo de control"
"c642eaf4-a6ff-479f-87de-476743bf262a","2158.84","Grupo de control"
"77ae5b98-7b22-4449-a935-5785c2698150","657.58","Sin asignar"
"0328a9a5-38be-490b-8ff5-03bfd50fe7c0","3213.79","Grupo de control"
"0aa95097-d36d-4849-8488-ddc7187084eb","1174.97","Grupo de control"
"2d5d6dec-f679-4e9e-b1a8-d5df0e9483e7","4784.86","Grupo de control"
"311a94b2-62bf-45ea-93e9-affd1e1d53e8","187.88","Sin asignar"
"7e3eb208-4063-44c8-b8fa-7ceaf0f050aa","1362.1","Grupo de control"
"95ea4444-7419-4c83-9c8c-e9b3ba51fab6","8242.23","Grupo de control"
"9aa4cb54-2890-4791-a404-8da6be9a925a","1082.55","Grupo de control"
"9dafe39b-d98c-4bb1-a09b-1592d2db9ce9","2066.06","Grupo de control"
"ae46c402-1999-4b56-bcd5-0f502df55fb3","7547.57","Grupo de control"
"bcc286c7-ca64-4a33-8ec6-db1a1396abae","1085.76","Grupo de control"
"c938263a-f9d1-4622-b737-871546965fde","470.19","Grupo de control"
"18ce136e-b70a-4aa1-b204-7402e9dc9dbe","577.77","Grupo de control"
"772e515d-1ce3-412a-a9d1-3f3cc71baf34","1018.0","Grupo de control"
"9e545039-aac5-474a-90ff-f8d8f43ae126","7526.73","Grupo de control"
"a800df8f-ae0d-41c9-97bc-6ac912c9dc89","3067.92","Grupo de control"
"a85a2d21-c728-4f74-83c7-dc735778e0a1","1737.61","Grupo de control"
"c03d9a89-09a1-4e5c-a4ff-fcca098cd56c","567.75","Sin asignar"
"c331014c-0bf9-42cd-8655-98f71dc33f8c","1096.92","Sin asignar"
"df5715d8-f457-4f77-924a-9d90c3909e35","1825.37","Grupo de control"
"fcc21624-47da-4db6-a502-f53b730c0b00","545.87","Grupo de control"
"dc38082d-6505-4c01-af53-0e7fab990490","15729.48","Grupo de control"
"e7a7fd71-abe0-4022-84cb-aff7afeabc52","2693.6","Grupo de control"
"226f580e-b35f-41ce-99b4-edb9844c2cb0","1118.78","Grupo de control"
"37d1cd3d-db8c-4963-accd-e6c891d19ed1","2802.91","Escalado, fase fija (sin otro credito del cliente)"
"6c0942b4-78e7-4d83-bb90-f24d52b02e8b","2940.55","Sin asignar"
"780a634c-4c23-4940-88a7-8849e9fb120f","444.39","Sin asignar"
"812a4da8-80f7-48f5-91ec-fb2a506ede9b","3518.01","Grupo de control"
"f561c0cc-8938-4bce-81ec-83e7875634de","2163.43","Escalado, fase fija (sin otro credito del cliente)"
"2834fbe1-b9c8-4b9e-9c40-90e605fad010","200.69","Sin asignar"
"94a289bf-06d0-4b69-b696-09425ec63344","1319.47","Sin asignar"
"6a2897dc-0bd9-4258-b187-9449714a075f","346.29","Grupo de control"
"0d7c7270-fece-462f-be3b-263477e4a3a0","10375.17","Escalado, fase fija (sin otro credito del cliente)"
"0f22ede2-e0cf-407b-8c29-8a826cb22452","4247.6","Grupo de control"
"182ce3a4-55e4-4518-a92e-e9b1d41ee45e","4274.92","Grupo de control"
