"ventana","avance_band","tipo_venc","dia","pct_capital_asegurado_acum","saldo_entrada_total","entradas"
"12m","a. avance <10%","finde","0","99.685","1358931.6100000003","683"
"12m","a. avance <10%","finde","1","99.842","1358931.6100000003","683"
"12m","a. avance <10%","finde","4","99.894","1358931.6100000003","683"
"12m","a. avance <10%","finde","29","100.0","1358931.6100000003","683"
"12m","a. avance <10%","semana","0","99.271","1.729542599000001E7","8873"
"12m","a. avance <10%","semana","1","99.297","1.729542599000001E7","8873"
"12m","a. avance <10%","semana","6","99.326","1.729542599000001E7","8873"
"12m","a. avance <10%","semana","14","99.412","1.729542599000001E7","8873"
"12m","a. avance <10%","semana","18","99.421","1.729542599000001E7","8873"
"12m","a. avance <10%","semana","20","99.436","1.729542599000001E7","8873"
"12m","a. avance <10%","semana","22","99.463","1.729542599000001E7","8873"
"12m","a. avance <10%","semana","25","99.494","1.729542599000001E7","8873"
"12m","a. avance <10%","semana","27","99.549","1.729542599000001E7","8873"
"12m","a. avance <10%","semana","28","99.588","1.729542599000001E7","8873"
"12m","a. avance <10%","semana","29","99.672","1.729542599000001E7","8873"
"12m","a. avance <10%","semana","30","99.903","1.729542599000001E7","8873"
"12m","b. avance 10-40%","finde","0","99.886","1274015.0900000003","847"
"12m","b. avance 10-40%","finde","3","100.0","1274015.0900000003","847"
"12m","b. avance 10-40%","semana","0","99.796","1.527674975E7","9463"
"12m","b. avance 10-40%","semana","2","99.806","1.527674975E7","9463"
"12m","b. avance 10-40%","semana","5","99.824","1.527674975E7","9463"
"12m","b. avance 10-40%","semana","8","99.832","1.527674975E7","9463"
"12m","b. avance 10-40%","semana","17","99.839","1.527674975E7","9463"
"12m","b. avance 10-40%","semana","21","99.845","1.527674975E7","9463"
"12m","b. avance 10-40%","semana","23","99.902","1.527674975E7","9463"
"12m","b. avance 10-40%","semana","25","99.905","1.527674975E7","9463"
"12m","b. avance 10-40%","semana","26","99.915","1.527674975E7","9463"
"12m","b. avance 10-40%","semana","27","99.933","1.527674975E7","9463"
"12m","b. avance 10-40%","semana","28","99.944","1.527674975E7","9463"
"12m","b. avance 10-40%","semana","30","99.958","1.527674975E7","9463"
"12m","b. avance 10-40%","semana","31","99.971","1.527674975E7","9463"
"12m","c. avance 40%+","finde","0","99.722","575615.9299999998","873"
"12m","c. avance 40%+","finde","1","99.856","575615.9299999998","873"
"12m","c. avance 40%+","finde","3","100.0","575615.9299999998","873"
"12m","c. avance 40%+","semana","0","99.926","6180576.07","9298"
"12m","c. avance 40%+","semana","1","99.936","6180576.07","9298"
"12m","c. avance 40%+","semana","9","99.939","6180576.07","9298"
"12m","c. avance 40%+","semana","10","99.951","6180576.07","9298"
"12m","c. avance 40%+","semana","18","99.957","6180576.07","9298"
"12m","c. avance 40%+","semana","27","99.957","6180576.07","9298"
"12m","c. avance 40%+","semana","28","99.984","6180576.07","9298"
"12m","c. avance 40%+","semana","29","99.987","6180576.07","9298"
"12m","c. avance 40%+","semana","30","100.0","6180576.07","9298"
