"periodo","dia_entrada","avance_band","creditos","saldo_en_riesgo"
"202604","1","a. avance <10%","18","82696.41"
"202604","1","b. avance 10-40%","55","126953.82"
"202604","1","c. avance 40-70%","28","38849.14"
"202604","1","d. avance 70%+","42","12411.3"
"202604","2","a. avance <10%","328","847007.29"
"202604","2","b. avance 10-40%","746","1176718.66"
"202604","2","c. avance 40-70%","499","401675.95"
"202604","2","d. avance 70%+","422","81382.79"
"202604","5","a. avance <10%","645","1747843.25"
"202604","5","b. avance 10-40%","1533","2615845.69"
"202604","5","c. avance 40-70%","987","768764.57"
"202604","5","d. avance 70%+","925","143302.02"
"202604","7","a. avance <10%","491","1321782.73"
"202604","7","b. avance 10-40%","1165","2244103.99"
"202604","7","c. avance 40-70%","837","693133.48"
"202604","7","d. avance 70%+","724","124862.21"
"202604","8","a. avance <10%","251","602845.15"
"202604","8","b. avance 10-40%","530","835283.13"
"202604","8","c. avance 40-70%","350","254001.59"
"202604","8","d. avance 70%+","255","34800.03"
"202604","9","a. avance <10%","225","507763.81"
"202604","9","b. avance 10-40%","556","907331.96"
"202604","9","c. avance 40-70%","354","237294.91"
"202604","9","d. avance 70%+","263","39368.83"
"202604","10","a. avance <10%","196","458583.8"
"202604","10","b. avance 10-40%","466","744342.48"
"202604","10","c. avance 40-70%","337","247607.17"
"202604","10","d. avance 70%+","218","29786.9"
"202604","11","a. avance <10%","180","471822.08"
"202604","11","b. avance 10-40%","490","839000.82"
"202604","11","c. avance 40-70%","294","224570.8"
"202604","11","d. avance 70%+","267","37400.48"
"202604","12","a. avance <10%","167","405862.4"
"202604","12","b. avance 10-40%","389","620260.44"
"202604","12","c. avance 40-70%","286","234721.93"
"202604","12","d. avance 70%+","213","25864.55"
"202604","14","a. avance <10%","321","823433.92"
"202604","14","b. avance 10-40%","798","1195161.07"
"202604","14","c. avance 40-70%","561","433976.88"
"202604","14","d. avance 70%+","463","57590.92"
"202604","15","a. avance <10%","211","426895.67"
"202604","15","b. avance 10-40%","471","733469.43"
"202604","15","c. avance 40-70%","326","239637.4"
"202604","15","d. avance 70%+","232","29994.64"
"202604","16","a. avance <10%","463","1347279.38"
"202604","16","b. avance 10-40%","1042","1900603.12"
"202604","16","c. avance 40-70%","601","538181.45"
"202604","16","d. avance 70%+","501","73283.64"
"202604","17","a. avance <10%","177","486814.26"
"202604","17","b. avance 10-40%","505","826656.67"
"202604","17","c. avance 40-70%","326","260167.88"
"202604","17","d. avance 70%+","282","37605.94"
"202604","18","a. avance <10%","172","392333.93"
"202604","18","b. avance 10-40%","458","753360.37"
"202604","18","c. avance 40-70%","335","229247.99"
"202604","18","d. avance 70%+","285","41609.0"
"202604","19","a. avance <10%","156","345594.61"
"202604","19","b. avance 10-40%","461","744892.6"
"202604","19","c. avance 40-70%","309","219905.77"
"202604","19","d. avance 70%+","245","34034.35"
"202604","21","a. avance <10%","366","870402.8"
"202604","21","b. avance 10-40%","919","1532732.12"
"202604","21","c. avance 40-70%","744","572844.9"
"202604","21","d. avance 70%+","555","84805.65"
"202604","22","a. avance <10%","245","539028.29"
"202604","22","b. avance 10-40%","571","894815.39"
"202604","22","c. avance 40-70%","341","240073.26"
"202604","22","d. avance 70%+","247","27649.67"
"202604","23","a. avance <10%","225","545050.56"
"202604","23","b. avance 10-40%","519","758136.38"
"202604","23","c. avance 40-70%","326","233363.92"
"202604","23","d. avance 70%+","277","37920.13"
"202604","24","a. avance <10%","197","494184.42"
"202604","24","b. avance 10-40%","499","808448.74"
"202604","24","c. avance 40-70%","343","264464.25"
"202604","24","d. avance 70%+","298","41032.75"
"202604","25","a. avance <10%","172","388074.58"
"202604","25","b. avance 10-40%","487","769683.86"
