"tramo","avance_band","dia","pct_capital_asegurado_acum","saldo_total","creditos_total"
"a. 1-8","a. avance <10%","1","13.82","8336559.149999998","3022"
"a. 1-8","a. avance <10%","2","23.753","8336559.149999998","3022"
"a. 1-8","a. avance <10%","3","29.192","8336559.149999998","3022"
"a. 1-8","a. avance <10%","4","33.173","8336559.149999998","3022"
"a. 1-8","a. avance <10%","5","36.664","8336559.149999998","3022"
"a. 1-8","a. avance <10%","6","38.432","8336559.149999998","3022"
"a. 1-8","a. avance <10%","7","40.471","8336559.149999998","3022"
"a. 1-8","a. avance <10%","8","42.269","8336559.149999998","3022"
"a. 1-8","a. avance <10%","9","43.686","8336559.149999998","3022"
"a. 1-8","a. avance <10%","10","44.857","8336559.149999998","3022"
"a. 1-8","a. avance <10%","11","46.339","8336559.149999998","3022"
"a. 1-8","a. avance <10%","12","47.299","8336559.149999998","3022"
"a. 1-8","a. avance <10%","13","48.28","8336559.149999998","3022"
"a. 1-8","a. avance <10%","14","49.374","8336559.149999998","3022"
"a. 1-8","a. avance <10%","15","50.943","8336559.149999998","3022"
"a. 1-8","a. avance <10%","16","52.25","8336559.149999998","3022"
"a. 1-8","a. avance <10%","17","52.806","8336559.149999998","3022"
"a. 1-8","a. avance <10%","18","53.255","8336559.149999998","3022"
"a. 1-8","a. avance <10%","19","53.745","8336559.149999998","3022"
"a. 1-8","a. avance <10%","20","54.466","8336559.149999998","3022"
"a. 1-8","a. avance <10%","21","54.948","8336559.149999998","3022"
"a. 1-8","a. avance <10%","22","55.051","8336559.149999998","3022"
"a. 1-8","a. avance <10%","23","55.802","8336559.149999998","3022"
"a. 1-8","a. avance <10%","24","56.384","8336559.149999998","3022"
"a. 1-8","a. avance <10%","25","56.697","8336559.149999998","3022"
"a. 1-8","a. avance <10%","26","57.55","8336559.149999998","3022"
"a. 1-8","a. avance <10%","27","58.612","8336559.149999998","3022"
"a. 1-8","a. avance <10%","28","60.891","8336559.149999998","3022"
"a. 1-8","a. avance <10%","29","63.316","8336559.149999998","3022"
"a. 1-8","a. avance <10%","30","66.516","8336559.149999998","3022"
"a. 1-8","a. avance <10%","31","67.266","8336559.149999998","3022"
"a. 1-8","b. avance 10-40%","1","13.497","1.1483436249999996E7","5876"
"a. 1-8","b. avance 10-40%","2","23.219","1.1483436249999996E7","5876"
"a. 1-8","b. avance 10-40%","3","29.706","1.1483436249999996E7","5876"
