"tipo","tramo","avance_band","dia_entrada","creditos","saldo"
"calendario","","a. avance <10%","1","10","52928.1"
"calendario","","b. avance 10-40%","1","22","56251.95"
"calendario","","c. avance 40-70%","1","28","23452.7"
"calendario","","d. avance 70%+","1","8","7317.54"
"calendario","","a. avance <10%","2","448","1462597.12"
"calendario","","b. avance 10-40%","2","937","1577338.23"
"calendario","","c. avance 40-70%","2","446","422554.11"
"calendario","","d. avance 70%+","2","128","65031.18"
"calendario","","a. avance <10%","4","803","2176164.0"
"calendario","","b. avance 10-40%","4","1271","2314214.43"
"calendario","","c. avance 40-70%","4","664","603348.04"
"calendario","","d. avance 70%+","4","119","58090.19"
"calendario","","a. avance <10%","5","456","1155994.6"
"calendario","","b. avance 10-40%","5","657","1192582.97"
"calendario","","c. avance 40-70%","5","365","320192.44"
"calendario","","d. avance 70%+","5","57","31677.68"
"calendario","","a. avance <10%","6","585","1694490.92"
"calendario","","b. avance 10-40%","6","888","1730286.97"
"calendario","","c. avance 40-70%","6","421","494699.14"
"calendario","","d. avance 70%+","6","97","57959.72"
"calendario","","a. avance <10%","8","750","1763357.34"
"calendario","","b. avance 10-40%","8","1202","2055459.8"
"calendario","","c. avance 40-70%","8","629","581008.37"
"calendario","","d. avance 70%+","8","107","49751.17"
"calendario","","a. avance <10%","9","378","917139.05"
"calendario","","b. avance 10-40%","9","584","984454.46"
"calendario","","c. avance 40-70%","9","329","309155.02"
"calendario","","d. avance 70%+","9","71","36346.91"
"calendario","","a. avance <10%","11","792","1898284.04"
"calendario","","b. avance 10-40%","11","1199","2002087.26"
"calendario","","c. avance 40-70%","11","606","554617.97"
"calendario","","d. avance 70%+","11","100","46048.42"
"calendario","","a. avance <10%","12","413","839768.03"
"calendario","","b. avance 10-40%","12","531","885987.23"
"calendario","","c. avance 40-70%","12","298","266170.19"
"calendario","","d. avance 70%+","12","43","30728.24"
"calendario","","a. avance <10%","13","448","887639.27"
"calendario","","b. avance 10-40%","13","494","743522.32"
"calendario","","c. avance 40-70%","13","258","225717.63"
"calendario","","d. avance 70%+","13","49","25205.84"
"calendario","","a. avance <10%","14","432","949473.29"
"calendario","","b. avance 10-40%","14","519","884472.2"
"calendario","","c. avance 40-70%","14","280","243047.41"
"calendario","","d. avance 70%+","14","36","17493.07"
"calendario","","a. avance <10%","15","355","715612.67"
"calendario","","b. avance 10-40%","15","486","774194.42"
"calendario","","c. avance 40-70%","15","290","270608.34"
"calendario","","d. avance 70%+","15","37","21227.71"
"calendario","","a. avance <10%","16","913","2656758.47"
"calendario","","b. avance 10-40%","16","1060","2022636.46"
"calendario","","c. avance 40-70%","16","606","621435.0"
"calendario","","d. avance 70%+","16","108","67225.93"
"calendario","","a. avance <10%","18","942","2222265.66"
"calendario","","b. avance 10-40%","18","1080","1845944.59"
"calendario","","c. avance 40-70%","18","619","550359.77"
"calendario","","d. avance 70%+","18","121","56044.63"
"calendario","","a. avance <10%","19","551","1109914.49"
"calendario","","b. avance 10-40%","19","507","846351.48"
"calendario","","c. avance 40-70%","19","317","281022.17"
"calendario","","d. avance 70%+","19","45","23333.32"
"calendario","","a. avance <10%","20","423","864402.31"
"calendario","","b. avance 10-40%","20","484","740078.37"
"calendario","","c. avance 40-70%","20","280","243806.98"
"calendario","","d. avance 70%+","20","58","32716.17"
"calendario","","a. avance <10%","21","555","1204519.12"
"calendario","","b. avance 10-40%","21","661","1133935.55"
"calendario","","c. avance 40-70%","21","368","346300.12"
"calendario","","d. avance 70%+","21","76","50217.64"
"calendario","","a. avance <10%","22","389","841745.37"
"calendario","","b. avance 10-40%","22","588","998892.01"
"calendario","","c. avance 40-70%","22","342","314113.58"
