"componente","dia","creditos","saldo_activado_dia"
"nuevos","1","4","3556.95"
"nuevos","2","144","189195.36"
"nuevos","3","206","276056.99"
"nuevos","4","304","452135.02"
"nuevos","5","323","499051.15"
"nuevos","6","180","297107.06"
"nuevos","7","225","400170.63"
"nuevos","8","229","406058.51"
"nuevos","9","180","229977.18"
"nuevos","10","328","528203.95"
"nuevos","11","423","540848.44"
"nuevos","12","366","447403.98"
"nuevos","13","288","406717.4"
"nuevos","14","328","482648.04"
"nuevos","15","269","354235.75"
"nuevos","16","239","318541.27"
"nuevos","17","383","624846.31"
"nuevos","18","447","726186.63"
"nuevos","19","360","509974.16"
"nuevos","20","370","539833.1"
"nuevos","21","397","585601.24"
"nuevos","22","267","352901.82"
"nuevos","23","192","287316.43"
"nuevos","24","306","415997.8"
"nuevos","25","179","251607.74"
"stock","1","388","554572.79"
"stock","2","156","234068.7"
"stock","3","371","535851.74"
"stock","4","159","274033.48"
"stock","5","140","255242.21"
"stock","6","51","61054.45"
"stock","7","69","98368.94"
"stock","8","30","57172.88"
"stock","9","23","29108.3"
"stock","10","59","96437.99"
"stock","11","52","111126.85"
"stock","12","36","74440.33"
"stock","13","28","50029.36"
"stock","14","39","71989.56"
"stock","15","24","40310.23"
"stock","16","21","35605.56"
"stock","17","28","28685.33"
"stock","18","33","45649.06"
"stock","19","31","43407.07"
"stock","20","32","40768.71"
"stock","21","37","44657.3"
"stock","22","31","37118.63"
"stock","23","12","25697.1"
"stock","24","38","48461.26"
"stock","25","17","22539.19"
