"componente","tramo","avance_band","creditos_activados","real_al_21","real_al_24"
"nuevos","","a. avance <10%","1688","3455181.73","3832107.54"
"nuevos","","b. avance 10-40%","2611","3816272.77","4262146.78"
"nuevos","","c. avance 40-70%","1968","1331687.6","1536860.62"
"nuevos","","d. avance 70%+","670","215207.02","243450.23"
"stock","a. 1-8","a. avance <10%","320","824539.83","837354.97"
"stock","a. 1-8","b. avance 10-40%","499","827360.9","865645.7"
"stock","a. 1-8","c. avance 40-70%","454","416736.56","433420.06"
"stock","a. 1-8","d. avance 70%+","162","71285.38","75511.96"
"stock","b. 9-15","a. avance <10%","37","71599.52","89106.58"
"stock","b. 9-15","b. avance 10-40%","97","156480.56","162692.67"
"stock","b. 9-15","c. avance 40-70%","90","70505.35","71921.68"
"stock","b. 9-15","d. avance 70%+","32","18200.49","18352.53"
"stock","c. 16-30","a. avance <10%","38","123224.68","127285.09"
"stock","c. 16-30","b. avance 10-40%","85","131013.87","136926.13"
"stock","c. 16-30","c. avance 40-70%","63","57631.41","60112.16"
"stock","c. 16-30","d. avance 70%+","28","14002.29","15528.3"
