"periodo_meta","dia","saldo_activado_dia"
"202604","1","22457.93"
"202604","2","185302.37"
"202604","3","54815.12"
"202604","4","49958.02"
"202604","5","249109.87"
"202604","6","482808.02"
"202604","7","387743.7"
"202604","8","774338.14"
"202604","9","439405.1"
"202604","10","448344.13"
"202604","11","278456.73"
"202604","12","149776.35"
"202604","13","355737.18"
"202604","14","432830.18"
"202604","15","504630.84"
"202604","16","590671.22"
"202604","17","459053.01"
"202604","18","255049.07"
"202604","19","160363.45"
"202604","20","291555.6"
"202604","21","537267.33"
"202604","22","476890.03"
"202604","23","480367.31"
"202604","24","386134.25"
"202604","25","235418.17"
"202604","26","289078.91"
"202604","27","448032.69"
"202604","28","586528.71"
"202604","29","506438.33"
"202604","30","503008.69"
"202605","1","297087.93"
"202605","2","186821.39"
"202605","3","359495.66"
"202605","4","611929.51"
"202605","5","754922.01"
"202605","6","601141.35"
"202605","7","474698.72"
"202605","8","354334.04"
"202605","9","228471.77"
"202605","10","140898.21"
"202605","11","343152.74"
"202605","12","542480.56"
"202605","13","446050.92"
"202605","14","410416.23"
"202605","15","462919.45"
"202605","16","423768.26"
"202605","17","223493.67"
"202605","18","466314.92"
"202605","19","469823.54"
"202605","20","444376.17"
"202605","21","428937.29"
"202605","22","440547.01"
"202605","23","267416.97"
"202605","24","199151.26"
"202605","25","415214.38"
"202605","26","712549.57"
"202605","27","492580.96"
"202605","28","451385.81"
"202605","29","546201.79"
"202605","30","236111.52"
"202605","31","416742.7"
"202606","2","239784.18"
"202606","3","328301.59"
"202606","4","305455.24"
"202606","5","364473.46"
"202606","6","301608.69"
"202606","7","186445.31"
"202606","8","382386.3"
"202606","9","547071.09"
"202606","10","381042.71"
"202606","11","389645.85"
"202606","12","401114.77"
"202606","13","200468.94"
"202606","14","177212.78"
"202606","15","382475.24"
"202606","16","675390.76"
"202606","17","549310.11"
"202606","18","430744.33"
"202606","19","446355.16"
"202606","20","273326.81"
"202606","21","177121.92"
"202606","22","455573.93"
"202606","23","431884.98"
"202606","24","441782.77"
"202606","25","500144.16"
"202606","26","743813.59"
"202606","27","358029.94"
"202606","28","243821.79"
"202606","29","195129.48"
"202606","30","442899.01"
"202607","1","903972.48"
"202607","2","773097.66"
"202607","3","558261.94"
"202607","4","269000.52"
"202607","5","195640.6"
"202607","6","491192.28"
"202607","7","534182.76"
"202607","8","566599.83"
"202607","9","502886.66"
"202607","10","643105.71"
"202607","11","333484.6"
"202607","12","239582.29"
"202607","13","152036.83"
"202607","14","829405.79"
"202607","15","656981.06"
"202607","16","762316.08"
"202607","17","571845.99"
"202607","18","338087.21"
"202607","19","148140.85"
"202607","20","524176.47"
"202607","21","661553.21"
"202607","22","473638.1"
"202607","23","253535.72"
"202607","24","354563.43"
"202607","25","337430.92"
"202607","26","320959.0"
"202607","27","549164.64"
"202607","28","247538.88"
"202607","29","110877.63"
"202607","30","432270.31"
"202607","31","1586883.07"
