"periodo_meta","dia","saldo_activado_dia"
"202604","1","576947.09"
"202604","2","159730.32"
"202604","3","49223.71"
"202604","4","71357.95"
"202604","5","67397.77"
"202604","6","124738.19"
"202604","7","57129.53"
"202604","8","141455.02"
"202604","9","61516.55"
"202604","10","47505.55"
"202604","11","33597.71"
"202604","12","11876.18"
"202604","13","51832.59"
"202604","14","41130.84"
"202604","15","46231.62"
"202604","16","41082.47"
"202604","17","40738.99"
"202604","18","26445.94"
"202604","19","13198.96"
"202604","20","60370.27"
"202604","21","25768.63"
"202604","22","31118.2"
"202604","23","29887.84"
"202604","24","48770.49"
"202604","25","22271.86"
"202604","26","23801.5"
"202604","27","44012.61"
"202604","28","55284.32"
"202604","29","115010.56"
"202604","30","249784.31"
"202605","1","220708.02"
"202605","2","201375.29"
"202605","3","61959.4"
"202605","4","168691.67"
"202605","5","109811.34"
"202605","6","79992.15"
"202605","7","55488.42"
"202605","8","78684.87"
"202605","9","41860.36"
"202605","10","12697.74"
"202605","11","42285.73"
"202605","12","34454.01"
"202605","13","68748.64"
"202605","14","38736.72"
"202605","15","54147.54"
"202605","16","49042.69"
"202605","17","23641.77"
"202605","18","37433.83"
"202605","19","44108.73"
"202605","20","42223.54"
"202605","21","27237.66"
"202605","22","18516.42"
"202605","23","11277.64"
"202605","24","2948.1"
"202605","25","31318.83"
"202605","26","48547.17"
"202605","27","38206.49"
"202605","28","44754.77"
"202605","29","130663.45"
"202605","30","73717.8"
"202605","31","24868.6"
"202606","1","648766.34"
"202606","2","369661.72"
"202606","3","243154.51"
"202606","4","138526.17"
"202606","5","108171.13"
"202606","6","67440.19"
"202606","7","30862.99"
"202606","8","61857.3"
"202606","9","61481.91"
"202606","10","54805.1"
"202606","11","65230.66"
"202606","12","50021.22"
"202606","13","27490.22"
"202606","14","9175.31"
"202606","15","62561.06"
"202606","16","77086.38"
"202606","17","38793.55"
"202606","18","31503.94"
"202606","19","41252.39"
"202606","20","19698.5"
"202606","21","8611.7"
"202606","22","40163.53"
"202606","23","18375.68"
"202606","24","21448.79"
"202606","25","24068.38"
"202606","26","40022.02"
"202606","27","46285.93"
"202606","28","26092.18"
"202606","29","24906.99"
"202606","30","133239.48"
"202607","1","329915.83"
"202607","2","206900.9"
"202607","3","157894.66"
"202607","4","60383.83"
"202607","5","32233.87"
"202607","6","137927.63"
"202607","7","94842.34"
"202607","8","63500.39"
"202607","9","61973.03"
"202607","10","65980.52"
"202607","11","54701.99"
"202607","12","16335.75"
"202607","13","12576.6"
"202607","14","88977.82"
"202607","15","66863.63"
"202607","16","51537.09"
"202607","17","37918.61"
"202607","18","20080.71"
"202607","19","11241.37"
"202607","20","51528.63"
"202607","21","32577.72"
"202607","22","22908.18"
"202607","23","20289.06"
"202607","24","48996.18"
"202607","25","39975.62"
"202607","26","14438.41"
"202607","27","40684.73"
"202607","28","10694.94"
"202607","29","10532.64"
"202607","30","57580.03"
"202607","31","83090.06"
