"periodo_meta","tramo","avance_band","creditos","saldo_total"
"202604","a. 1-8","a. avance <10%","251","695854.64"
"202604","a. 1-8","b. avance 10-40%","649","1257546.53"
"202604","a. 1-8","c. avance 40-70%","548","564657.82"
"202604","a. 1-8","d. avance 70%+","226","99327.36"
"202604","b. 9-15","a. avance <10%","86","210677.57"
"202604","b. 9-15","b. avance 10-40%","157","294464.15"
"202604","b. 9-15","c. avance 40-70%","73","62710.62"
"202604","b. 9-15","d. avance 70%+","30","12205.28"
"202604","c. 16-30","a. avance <10%","150","379930.47"
"202604","c. 16-30","b. avance 10-40%","146","263857.02"
"202604","c. 16-30","c. avance 40-70%","97","102923.88"
"202604","c. 16-30","d. avance 70%+","31","10067.95"
"202605","a. 1-8","a. avance <10%","224","575233.25"
"202605","a. 1-8","b. avance 10-40%","444","788833.03"
"202605","a. 1-8","c. avance 40-70%","343","301583.66"
"202605","a. 1-8","d. avance 70%+","127","53635.05"
"202605","b. 9-15","a. avance <10%","105","254318.69"
"202605","b. 9-15","b. avance 10-40%","140","243927.59"
"202605","b. 9-15","c. avance 40-70%","91","90164.83"
"202605","b. 9-15","d. avance 70%+","28","13783.71"
"202605","c. 16-30","a. avance <10%","139","367549.11"
"202605","c. 16-30","b. avance 10-40%","172","333045.52"
"202605","c. 16-30","c. avance 40-70%","102","120654.94"
"202605","c. 16-30","d. avance 70%+","35","14522.47"
"202606","a. 1-8","a. avance <10%","383","957338.48"
"202606","a. 1-8","b. avance 10-40%","644","1288040.09"
"202606","a. 1-8","c. avance 40-70%","482","481651.81"
"202606","a. 1-8","d. avance 70%+","196","83336.19"
"202606","b. 9-15","a. avance <10%","86","216421.52"
"202606","b. 9-15","b. avance 10-40%","143","275380.39"
"202606","b. 9-15","c. avance 40-70%","86","77353.55"
"202606","b. 9-15","d. avance 70%+","26","11477.01"
"202606","c. 16-30","a. avance <10%","166","439751.62"
"202606","c. 16-30","b. avance 10-40%","166","303361.55"
"202606","c. 16-30","c. avance 40-70%","123","148034.03"
"202606","c. 16-30","d. avance 70%+","48","21597.94"
"202607","a. 1-8","a. avance <10%","202","498584.83"
"202607","a. 1-8","b. avance 10-40%","394","713733.48"
"202607","a. 1-8","c. avance 40-70%","303","289335.96"
"202607","a. 1-8","d. avance 70%+","126","57968.93"
"202607","b. 9-15","a. avance <10%","105","333761.04"
"202607","b. 9-15","b. avance 10-40%","168","317135.6"
"202607","b. 9-15","c. avance 40-70%","137","121933.9"
"202607","b. 9-15","d. avance 70%+","52","26373.36"
"202607","c. 16-30","a. avance <10%","141","389846.77"
"202607","c. 16-30","b. avance 10-40%","191","377204.46"
"202607","c. 16-30","c. avance 40-70%","131","127707.79"
"202607","c. 16-30","d. avance 70%+","45","22705.68"
