"id_ihfintech_loan","origen","situacion_ejecucion","fases_vistas","saldo","fecha_entrada","asegurado","fecha_pago"
"000ab39b-77e9-4948-9d61-0679b657c2a6","b. nuevos","1. TEMPRANA gestionado","TEMPRANA","1679.23","20260704","1","20260706"
"000b6178-922b-4f14-a80e-cc17d69c043f","b. nuevos","1. TEMPRANA gestionado","TEMPRANA","1071.83","20260715","1","20260720"
"00168809-ae82-4c7c-9df8-8a65e8142ea4","b. nuevos","1. TEMPRANA gestionado","TEMPRANA","1514.79","20260728","1","20260731"
"00297ab7-a2dc-49c9-b3d3-9b6e076c39d7","b. nuevos","1. TEMPRANA gestionado","TEMPRANA","824.0","20260712","0",
"002ddd5c-7e50-4562-99e4-91ac9891718a","b. nuevos","1. TEMPRANA gestionado","TEMPRANA","361.9","20260702","1","20260703"
"003418d0-cc33-402e-8b63-fb502966e76b","a. stock","1. TEMPRANA gestionado","TEMPRANA","446.8",,"1","20260705"
"003a9694-ebe1-484d-840a-c47726f9cef7","b. nuevos","1. TEMPRANA gestionado","TEMPRANA","1075.24","20260731","0",
"004ef3c1-b694-403b-af75-96e78696d39e","b. nuevos","1. TEMPRANA gestionado","TEMPRANA","4567.23","20260702","1","20260703"
"00580590-15bc-46a4-b34a-267694386045","b. nuevos","1. TEMPRANA gestionado","TEMPRANA","2687.92","20260722","1","20260724"
"005a2cb8-e68a-4562-b488-f2d7f85772cc","b. nuevos","1. TEMPRANA gestionado","TEMPRANA","189.88","20260711","1","20260715"
"007f4801-6949-4a0c-98a5-07ae867ddfab","b. nuevos","1. TEMPRANA gestionado","TEMPRANA","1065.02","20260731","0",
"0080ca2a-71e1-4864-baec-82cddfa1b15d","b. nuevos","1. TEMPRANA gestionado","TEMPRANA","632.22","20260707","1","20260708"
"00842a96-a938-48ca-917d-bccd18885975","b. nuevos","5. aparece, otra situacion","","979.05","20260718","0",
"00861164-025e-4b94-a39f-e8213b2d5ae8","a. stock","1. TEMPRANA gestionado","TEMPRANA","436.47",,"0",
"00945a50-8861-4fe2-b680-ad30d6a46b9a","a. stock","1. TEMPRANA gestionado","TEMPRANA","9313.1",,"0",
"009a7943-9536-46c6-ade5-e780a5b34934","a. stock","1. TEMPRANA gestionado","TEMPRANA","978.99",,"1","20260708"
"009d3043-0a43-4443-91bc-1b4ba68dc487","b. nuevos","1. TEMPRANA gestionado","TEMPRANA","508.14","20260721","1","20260722"
"00ac403d-2fb2-4b79-bac1-2fa77b3bac4a","b. nuevos","1. TEMPRANA gestionado","TEMPRANA","303.49","20260725","1","20260726"
"00b487fe-6e53-423e-aba6-229396eedcca","b. nuevos","1. TEMPRANA gestionado","TEMPRANA","483.15","20260702","1","20260703"
"00b58ce2-6140-4c98-b3c3-82e0181e7692","b. nuevos","1. TEMPRANA gestionado","TEMPRANA","470.61","20260712","1","20260731"
"00c3d8cf-5e84-4cae-a8a1-be114b3f972c","b. nuevos","1. TEMPRANA gestionado","TEMPRANA","1315.15","20260705","1","20260709"
"00dea92c-7684-483c-9301-5d9b13ef2fc2","b. nuevos","1. TEMPRANA gestionado","TEMPRANA","1541.41","20260726","1","20260729"
"010a3d8f-6cb5-407c-aadd-dabf6b4d09dd","a. stock","1. TEMPRANA gestionado","TEMPRANA","3990.08",,"1","20260702"
"01151810-6cf1-4c6a-a7ac-9e2a1936e117","b. nuevos","1. TEMPRANA gestionado","TEMPRANA","3557.79","20260731","0",
"01182238-85f3-43f9-a11c-fe9de13a3542","a. stock","1. TEMPRANA gestionado","TEMPRANA","3293.58",,"1","20260701"
"011ec7ee-2886-40ef-aeb8-dc2995c3e692","a. stock","1. TEMPRANA gestionado","TEMPRANA","1102.04",,"1","20260708"
"01296776-d6de-40bd-8626-6c86c1c0dac5","a. stock","1. TEMPRANA gestionado","TEMPRANA","877.37",,"1","20260706"
"01317e52-dd5a-43ca-bf87-c3eeebc72e81","a. stock","1. TEMPRANA gestionado","TEMPRANA","2478.19",,"0",
"0134be20-4aba-44c4-9d14-5f2afb560206","a. stock","1. TEMPRANA gestionado","TEMPRANA","211.16",,"1","20260708"
"01368c35-9430-4194-93ac-417910a119a5","a. stock","1. TEMPRANA gestionado","TEMPRANA","459.79",,"1","20260714"
"0143f6d2-8f43-450b-afef-e41353516b65","b. nuevos","1. TEMPRANA gestionado","TEMPRANA","2127.98","20260715","1","20260721"
"014fe560-8d93-4c0d-95fd-ac3399cfc919","b. nuevos","5. aparece, otra situacion","","2561.06","20260721","1","20260723"
"015065ce-9258-4ad5-abde-e932d5c74936","a. stock","1. TEMPRANA gestionado","TEMPRANA","679.95",,"1","20260711"
"016efaaf-e181-4344-aca0-687657063559","b. nuevos","1. TEMPRANA gestionado","TEMPRANA","3086.91","20260708","1","20260720"
"0177f930-79fd-4dad-b4b8-a7fb9904d3da","a. stock","1. TEMPRANA gestionado","TEMPRANA","1300.39",,"1","20260711"
"01787873-b122-4ab0-974a-821ced9ceecc","a. stock","1. TEMPRANA gestionado","TEMPRANA","1066.02",,"0",
"017b1437-56d5-4a17-b92d-4fecd184d8d3","a. stock","1. TEMPRANA gestionado","TEMPRANA","326.23",,"1","20260709"
"017e2933-0219-422f-ace3-9d41948ac3cd","b. nuevos","5. aparece, otra situacion","","1633.97","20260715","1","20260730"
"0189ffc0-5f59-4d1d-9863-ca81e4d45fbc","b. nuevos","1. TEMPRANA gestionado","TEMPRANA","1143.45","20260711","1","20260721"
"01902ec7-32d2-40e9-b7cb-33d26a82e17f","b. nuevos","1. TEMPRANA gestionado","TEMPRANA","290.78","20260708","1","20260712"
"01952dca-44c1-4238-b4a6-41502f4ffeb4","a. stock","1. TEMPRANA gestionado","TEMPRANA","245.05",,"0",
"019fbd96-a157-49b2-94e6-464dbfa1f51e","b. nuevos","1. TEMPRANA gestionado","TEMPRANA","870.35","20260728","1","20260730"
"01a306ec-9cb0-4ee5-beb2-effd656ad334","a. stock","1. TEMPRANA gestionado","TEMPRANA","557.58",,"0",
"01ad6639-29a5-4bec-b52e-1ba01f3e97af","a. stock","5. aparece, otra situacion","","2628.22",,"1","20260709"
"01b86d6f-eb41-4313-a3b9-88ae8c457867","b. nuevos","1. TEMPRANA gestionado","TEMPRANA","364.91","20260716","1","20260722"
"01b8df69-2f8a-4061-929e-ecab16f2873a","b. nuevos","1. TEMPRANA gestionado","TEMPRANA","771.03","20260721","1","20260724"
"01c1b35c-5b62-4977-95a3-339bfd007f13","b. nuevos","1. TEMPRANA gestionado","TEMPRANA","391.8","20260714","1","20260715"
"01c4d24f-aa0a-4b70-b171-c4f62f77c4fa","b. nuevos","5. aparece, otra situacion","","69.02","20260731","0",
