"mes","id_ihfintech_loan","categoria","origen","saldo"
"agosto","8509cd88-3e39-4783-af81-4aefc93cf5bd","1. EN AMBOS","stock","10842.37"
"agosto","4d45048a-f996-4b79-87a6-76fbac0b45d9","1. EN AMBOS","nuevos","646.05"
"agosto","cb57b45e-128e-4818-8881-315553d18c6c","1. EN AMBOS","stock","1559.83"
"agosto","6831fe75-c316-4eee-b697-e32d4aa4d443","1. EN AMBOS","stock","999.53"
"agosto","56925db1-60a0-4a82-a414-fe6ddd6bc726","1. EN AMBOS","stock","310.42"
"agosto","5153e9ef-f392-4d45-9b68-459dc48d1cfe","1. EN AMBOS","nuevos","1178.0"
"agosto","0f76535d-8b12-48a6-8a54-9f7e4b4d7edb","1. EN AMBOS","stock","2779.17"
"agosto","6ed3329c-5e7d-486d-8474-9a34163ee914","1. EN AMBOS","stock","931.77"
"agosto","b2e46183-030c-414b-93e3-175e69e4a023","1. EN AMBOS","stock","1144.52"
"agosto","531797ff-af49-404d-9d08-f24816eaaf1c","1. EN AMBOS","nuevos","1312.05"
"agosto","19db6adb-6f51-4ef9-a07f-073be89ad41c","1. EN AMBOS","stock","1833.46"
"agosto","4e2a8865-e37e-4005-8d1b-0359062a20b7","1. EN AMBOS","stock","702.14"
"agosto","4f6703a4-2b91-4d1c-aafb-effa0c2b136a","1. EN AMBOS","stock","1529.42"
"agosto","55185391-7567-481f-a290-e0e4b140617f","1. EN AMBOS","nuevos","3411.63"
"agosto","a46071bf-b842-461e-b830-da1c2ed43c4e","1. EN AMBOS","stock","546.38"
"agosto","8779a660-c7f4-4c91-af35-85d49e861206","1. EN AMBOS","stock","987.2"
"agosto","15263bb9-8435-4396-b31f-20a76a60e419","1. EN AMBOS","stock","647.79"
"agosto","5bb629e1-a4c2-4319-bb67-72857a82d369","1. EN AMBOS","nuevos","1035.28"
"agosto","8b552130-b5d8-47d0-aac3-eef19d7c9e0b","1. EN AMBOS","stock","330.24"
"agosto","e1dc0ce8-cff3-4f99-9bc8-34468a4e2e04","1. EN AMBOS","stock","1863.22"
"agosto","9be90686-3778-479b-a511-2a57227eae04","1. EN AMBOS","stock","1452.64"
"agosto","5e5446eb-40e3-4320-987d-76c79cd5df02","1. EN AMBOS","nuevos","269.62"
"agosto","bac1d8c2-4079-4ff8-82a5-c5e84c5a6a9f","1. EN AMBOS","stock","790.29"
"agosto","88cb8453-a35d-4952-8b30-d82ff6c24965","1. EN AMBOS","stock","3508.17"
"agosto","37e62f79-93f8-4e78-b47c-6d774aa67334","1. EN AMBOS","stock","2506.99"
