"mes","id_ihfintech_loan","categoria","origen","saldo"
"julio","45d215ff-bc92-4fec-b5c8-c6c3856cf8bc","1. EN AMBOS","stock","1955.03"
"julio","c7d9a9f9-3a53-444c-b805-220d8c2b98ef","1. EN AMBOS","stock","1200.79"
"julio","aa2c2258-1f1d-45e1-b889-97b4f6c5b7c6","1. EN AMBOS","nuevos","703.46"
"julio","885e67b7-a236-4cb0-b87a-4d938cf10d36","1. EN AMBOS","stock","494.2"
"julio","45d00278-8db7-4336-856f-35975f2de113","1. EN AMBOS","stock","715.39"
"julio","2de72e17-a7f3-456c-8f6b-935b94472b3c","1. EN AMBOS","stock","614.01"
"julio","b2733cc6-38b5-4db2-9353-c949b93d0e1b","1. EN AMBOS","nuevos","502.9"
"julio","54bd8b58-1055-4216-a476-2712824e6c63","1. EN AMBOS","nuevos","1605.18"
"julio","312d733e-77c0-4036-8f6e-773b30da6a96","1. EN AMBOS","stock","1169.94"
"julio","70232c0f-5fe0-490e-903d-5355b3ad5dc9","1. EN AMBOS","stock","999.87"
"julio","b2cb15ab-7a41-4eb3-830b-1f9170097fae","1. EN AMBOS","nuevos","385.74"
"julio","5891eace-131c-4d3f-85ea-8809ed2ce717","1. EN AMBOS","nuevos","1513.5"
"julio","a5193790-0ccc-4783-94b3-9115b076e61d","1. EN AMBOS","stock","217.57"
"julio","eb05490b-a210-4591-beb5-0d58b14da599","1. EN AMBOS","stock","2518.37"
"julio","b580485e-67e2-4b93-bb78-cbb63bc6196b","1. EN AMBOS","nuevos","1578.04"
"julio","5b5c8819-0f9a-450a-9b81-843472e14651","1. EN AMBOS","nuevos","1634.29"
"julio","6da54cc0-a79f-4abc-8ce3-3f8b879ae0b3","1. EN AMBOS","stock","1101.31"
"julio","5b20e369-262a-4889-b749-2d63ac208220","1. EN AMBOS","stock","3104.33"
"julio","be4e340e-18d8-4f7d-9ec2-9e5746e1f6a8","1. EN AMBOS","nuevos","281.33"
"julio","5f82d3c0-e17f-473a-81e6-9afad5ab4310","1. EN AMBOS","nuevos","352.13"
"julio","e0216d1d-11bb-476c-9974-4a65b55f16d4","1. EN AMBOS","nuevos","2850.4"
"julio","53ef42c1-d085-400d-9f61-7e2e9b46b286","1. EN AMBOS","stock","1733.78"
"julio","c6f905f4-f5b8-40b6-b70c-8071501333a8","1. EN AMBOS","nuevos","6070.11"
"julio","6b4b0f7c-a891-4961-9233-7c6cfa46aa97","1. EN AMBOS","nuevos","1179.35"
"julio","e4406d57-3790-420d-8e86-f092c0d084ce","1. EN AMBOS","nuevos","2796.94"
"julio","56c6d4ff-feb0-496a-a468-e74f9219aaec","1. EN AMBOS","stock","4251.63"
"julio","c9a2329e-28f1-4295-a6d5-2e06afb16076","1. EN AMBOS","nuevos","1565.76"
"julio","6cca9bb5-6667-4627-ad88-6d24df076c73","1. EN AMBOS","nuevos","6154.92"
"julio","e8936544-183e-4cd5-9586-5aebf5bbf362","1. EN AMBOS","nuevos","1489.62"
"julio","59f7db05-2a7e-48b8-a506-c327fc999c01","1. EN AMBOS","stock","2310.55"
"julio","ce54268a-ea60-4afe-bcfe-e9635c10a782","1. EN AMBOS","nuevos","3747.45"
"julio","6e84e6d2-d3f1-49c0-a38e-d491dcf353bc","1. EN AMBOS","nuevos","1227.74"
"julio","f0ff978a-010d-4c46-802d-a4f3699e8f35","1. EN AMBOS","nuevos","402.9"
"julio","3f12ac98-2e76-45c7-9d5a-75dbfa29037c","1. EN AMBOS","stock","2132.86"
"julio","cfbeffd2-b267-4f77-bf09-abf68524a466","1. EN AMBOS","nuevos","1232.04"
"julio","7ab88d4c-123b-4cb3-a975-ff02766b323d","1. EN AMBOS","nuevos","895.6"
"julio","f50de3f2-a4dc-4932-9400-cf8ea1dce301","1. EN AMBOS","nuevos","112.24"
"julio","e3cdfda7-1ec6-4471-9f28-65c868a5b849","1. EN AMBOS","stock","884.29"
"julio","d1baaeff-c527-40cb-b13c-acf91d034788","1. EN AMBOS","nuevos","494.5"
"julio","7f5277a4-7a22-40fb-aebe-f366c04674bd","1. EN AMBOS","nuevos","1527.0"
"julio","f645f177-388e-40e1-b6c1-50dcd5d0baf0","1. EN AMBOS","nuevos","1136.09"
"julio","14894dc3-603b-4d2a-97fb-ad66fb4963ad","1. EN AMBOS","stock","735.84"
"julio","d1ffc7bd-a2bc-4ee6-a58e-75c4a3fb2f1e","1. EN AMBOS","nuevos","1260.71"
"julio","82a45ea6-cba3-4043-8404-ba37d12a50ac","1. EN AMBOS","nuevos","3257.6"
"julio","f8016809-2477-42ff-a15f-82b3796067dd","1. EN AMBOS","nuevos","1101.56"
"julio","2807d984-1c70-46fe-9c8b-e02f44a906a2","1. EN AMBOS","stock","236.7"
"julio","d2d772da-fe31-416d-b735-ad38525626f7","1. EN AMBOS","nuevos","363.0"
"julio","82af0d23-5c24-4eb4-80ec-96b9c4b33e9f","1. EN AMBOS","nuevos","439.02"
"julio","6f858f77-ce09-4201-8141-a6e1e9c4c9b6","1. EN AMBOS","stock","14229.0"
"julio","dea60a78-cecf-4f75-9443-1fad4092f2e5","1. EN AMBOS","stock","1320.25"
"julio","d9f820f8-a8b1-4ed7-8b48-2e50d0082e7e","1. EN AMBOS","nuevos","1614.4"
"julio","84cdcb23-352f-4663-b0e0-d2b0f631f28b","1. EN AMBOS","nuevos","1143.19"
"julio","bfa83a0f-98a2-408d-a895-98de366f2697","1. EN AMBOS","stock","573.22"
"julio","b5225350-373f-44c0-b7ca-2d06e38e3ffd","1. EN AMBOS","stock","482.85"
"julio","dc4ba2be-3499-4cb1-b1d6-c71ae8284c78","1. EN AMBOS","nuevos","2615.66"
"julio","8abbaa56-1593-48c3-a5d3-54040bb60d8f","1. EN AMBOS","nuevos","183.6"
"julio","70dd3180-add5-483a-8024-98096a79b2dc","1. EN AMBOS","stock","940.3"
"julio","5e5e0081-a364-4d9f-98f5-a98f0408cf34","1. EN AMBOS","stock","330.9"
"julio","f0e3c4cb-7e7a-4bc1-b44f-022025c48923","1. EN AMBOS","nuevos","1346.8"
"julio","92a96171-ee28-4339-adf9-c7a55a6d6547","1. EN AMBOS","nuevos","3492.66"
"julio","3b375da7-9ed5-462d-a9a5-c7db11b4ff48","1. EN AMBOS","stock","1171.69"
"julio","e38fde79-0932-4b8c-9e13-89008135bcfe","1. EN AMBOS","stock","1274.73"
"julio","f373427d-8495-4189-85df-5f2ce0b40edb","1. EN AMBOS","nuevos","2087.96"
"julio","963d3aa2-72a1-4740-bc56-7b8e7029f712","1. EN AMBOS","nuevos","741.41"
"julio","86b0fd4e-e131-49b6-bc70-c1f801617225","1. EN AMBOS","stock","1004.16"
"julio","85492fa1-58dc-46db-8041-c4e46e9d9f87","1. EN AMBOS","stock","2426.34"
"julio","f448e50a-ac88-4879-847e-9bcdbb20bd12","1. EN AMBOS","nuevos","1215.92"
"julio","96f1135e-bcfe-4486-b28c-66028ef0ad8d","1. EN AMBOS","nuevos","382.04"
"julio","b911d8f7-6868-4b92-a8e9-7819d0167841","1. EN AMBOS","stock","419.86"
"julio","607ac3e6-1338-468e-923e-c0a99f16401b","1. EN AMBOS","stock","1642.22"
"julio","f5990074-4f6e-451b-9b08-34abd90662b9","1. EN AMBOS","nuevos","1606.5"
"julio","9bf587e0-1eb4-42a0-957b-fd63ca514308","1. EN AMBOS","nuevos","914.74"
"julio","7b3f5eae-41fd-4749-9eec-1d6d5100ed12","1. EN AMBOS","stock","1522.9"
"julio","06ddea5f-7e01-4e6b-ab61-a097e745b434","1. EN AMBOS","nuevos","411.87"
"julio","f6023529-cb30-468e-a432-bfcec9606fc8","1. EN AMBOS","nuevos","1144.93"
"julio","9c35d7f4-7b77-4b28-b802-30b217b7d76e","1. EN AMBOS","nuevos","112.41"
"julio","d1889c7d-5845-43c6-a1ec-c2e814516294","1. EN AMBOS","stock","379.61"
"julio","1585af1f-0026-46eb-95c3-5effc305b4d1","1. EN AMBOS","nuevos","1193.23"
"julio","f688ca6a-8ac9-4f04-a220-df4ce4a4bc40","1. EN AMBOS","nuevos","678.02"
"julio","a842ee6a-abea-43fa-a567-6846f26410b7","1. EN AMBOS","nuevos","920.05"
"julio","ac3161a8-a03d-4ae8-9f4c-7808e7d81cee","1. EN AMBOS","stock","1153.55"
"julio","20b6fff9-95b4-43bd-b29f-c33f0a49453d","1. EN AMBOS","nuevos","344.98"
"julio","f99e977c-aa07-4f6f-aceb-2eaa2521a5fe","1. EN AMBOS","nuevos","544.83"
"julio","abdea408-9753-4f52-98f5-b527d9a89c4b","1. EN AMBOS","nuevos","581.17"
"julio","0c6a8445-d40b-47fa-93be-74d3cd6b80b4","1. EN AMBOS","stock","397.48"
"julio","242b0028-bcac-4626-9943-4b46c4f5bfe9","1. EN AMBOS","nuevos","1386.36"
"julio","fa22d4bc-3ac5-438c-89bb-50685458e473","1. EN AMBOS","nuevos","2193.16"
"julio","bec6a593-f8cc-490d-8aea-8d496e4a807b","1. EN AMBOS","nuevos","4288.0"
"julio","cd50c386-b880-4537-a990-a02aa5074e8b","1. EN AMBOS","stock","1582.95"
"julio","28137968-9e0b-4007-be4c-4da2ec03526f","1. EN AMBOS","nuevos","775.68"
"julio","fb22fc87-56c5-4430-80c1-2678a116a0b9","1. EN AMBOS","nuevos","1679.53"
"julio","bfb8e6e1-28bd-453c-a131-5e477b933cae","1. EN AMBOS","nuevos","1196.22"
"julio","46e253c7-b04e-41f5-926b-cedf225d7534","1. EN AMBOS","stock","3164.98"
"julio","283f7f84-d192-4333-8f83-1172873ddf1e","1. EN AMBOS","nuevos","837.95"
"julio","fbb7a735-8d8f-4165-836f-a2ec04538fd8","1. EN AMBOS","nuevos","2187.63"
"julio","c19d9c6b-1465-4b26-9ce0-358814d21ff3","1. EN AMBOS","nuevos","1229.29"
"julio","239a615f-3b96-431d-85c0-469e678f75a8","1. EN AMBOS","stock","1335.36"
"julio","29da3de5-c5fa-4fc0-b4af-d121aff17627","1. EN AMBOS","nuevos","5584.29"
"julio","fbd8ac27-bc30-43ef-815b-210f9624af9a","1. EN AMBOS","nuevos","927.84"
"julio","cb493d0f-10f9-432f-a207-588a41719809","1. EN AMBOS","nuevos","675.02"
"julio","9f6c0972-24b8-433d-96e1-486a56c6b5ea","1. EN AMBOS","stock","2079.12"
"julio","2a748208-eea5-4015-8f12-45f87c8a0798","1. EN AMBOS","nuevos","719.82"
"julio","fc26ffbe-474b-4434-90e3-f99fd7f70fa2","1. EN AMBOS","nuevos","1165.32"
"julio","dab9186e-01c9-4d33-a877-43bcd298fb98","1. EN AMBOS","nuevos","1179.86"
"julio","f133a9d7-3021-4d07-a25d-40d29232b238","1. EN AMBOS","stock","13042.87"
"julio","2c9c9553-35fd-4ddb-9830-bd7b6010ef60","1. EN AMBOS","nuevos","193.39"
