"tramo","avance_band","creditos_total","saldo_total","creditos_activados","saldo_asegurado_real"
"a. 1-8","a. avance <10%","405","1137800.66","308","812378.77"
"a. 1-8","b. avance 10-40%","602","1138943.8","469","821645.75"
"a. 1-8","c. avance 40-70%","531","517995.68","431","412565.6"
"a. 1-8","d. avance 70%+","179","86575.66","147","69986.41"
"b. 9-15","a. avance <10%","84","192370.22","30","63022.2"
"b. 9-15","b. avance 10-40%","138","250160.48","87","150506.73"
"b. 9-15","c. avance 40-70%","145","124336.02","83","69550.23"
"b. 9-15","d. avance 70%+","40","24846.27","29","17948.18"
"c. 16-30","a. avance <10%","158","438208.6","33","121057.36"
"c. 16-30","b. avance 10-40%","209","379113.89","75","129965.37"
"c. 16-30","c. avance 40-70%","148","142452.97","55","52779.53"
"c. 16-30","d. avance 70%+","56","27698.01","25","13258.95"
